checkpoint,model,exercise,target,seed,criterion,criterion_name,target_bit,perturbation,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,0,Balance (0.5 point) F,0,zero,69,12,0,0.7101449275362319,0.6282647252082825,0.260109007358551,0.044701747596263885,0.21540725231170654,0.09033923596143723,0.0,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,0,Balance (0.5 point) F,0,temporal_mean,69,12,0,0.7101449275362319,0.6282647252082825,0.14898066222667694,0.07788693904876709,0.07109372317790985,0.04107584431767464,0.0,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,1,Straight back (0.5) L,0,zero,69,6,0,0.6521739130434783,0.5768117904663086,0.12079030275344849,0.040809422731399536,0.07998088002204895,0.12750527262687683,0.021197259426116943,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,1,Straight back (0.5) L,0,temporal_mean,69,6,0,0.6521739130434783,0.5768117904663086,0.06545168906450272,0.016375446692109108,0.04907624423503876,0.0204424150288105,0.021302882581949234,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,2,Full back leg extended (0.5 point) L,0,zero,69,6,15,0.391304347826087,0.47104859352111816,0.03594491258263588,-0.0019304692978039384,0.037875380367040634,0.04237015172839165,0.0988290011882782,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,2,Full back leg extended (0.5 point) L,0,temporal_mean,69,6,15,0.391304347826087,0.47104859352111816,-0.01357631292194128,0.004652095027267933,-0.018228407949209213,0.020757578313350677,0.08843407779932022,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,3,Slow reverse movement (0.5 point) L,0,zero,69,8,45,0.0,0.409426212310791,0.022840136662125587,0.001026524230837822,0.021813612431287766,0.01042538695037365,0.0896950364112854,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,3,Slow reverse movement (0.5 point) L,0,temporal_mean,69,8,45,0.0,0.409426212310791,-0.021974526345729828,-0.0034824286121875048,-0.018492097035050392,0.0048218583688139915,0.09303750842809677,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,4,Support knee bend 15-20° (0.5 point) L,0,zero,69,6,0,0.927536231884058,0.7564132213592529,-0.051020123064517975,0.010925614275038242,-0.06194573640823364,0.04631529375910759,0.11387085169553757,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s123.pt,fact,deadlift,00000,123,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,69,6,0,0.927536231884058,0.7564132213592529,0.24678851664066315,0.03280100226402283,0.21398751437664032,0.04225244000554085,0.03583269566297531,80
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,0,Balance (0.5 point) F,0,zero,69,12,0,0.6521739130434783,0.54429030418396,-0.11063647270202637,-0.0016125031979754567,-0.10902396589517593,0.03532608225941658,0.0,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,0,Balance (0.5 point) F,0,temporal_mean,69,12,0,0.6521739130434783,0.54429030418396,0.11897436529397964,0.05608632415533066,0.06288804113864899,0.018577804788947105,0.0,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,1,Straight back (0.5) L,0,zero,69,6,0,0.782608695652174,0.6373285055160522,-0.06945338100194931,-0.006728481501340866,-0.06272490322589874,0.09620900452136993,0.02712184190750122,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,1,Straight back (0.5) L,0,temporal_mean,69,6,0,0.782608695652174,0.6373285055160522,0.14466722309589386,0.02486439049243927,0.11980283260345459,0.023676307871937752,0.0174331683665514,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,2,Full back leg extended (0.5 point) L,0,zero,69,6,15,0.4927536231884058,0.52243572473526,-0.09205498546361923,-0.0016781907761469483,-0.09037679433822632,0.023441467434167862,0.054238736629486084,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,2,Full back leg extended (0.5 point) L,0,temporal_mean,69,6,15,0.4927536231884058,0.52243572473526,0.031277984380722046,0.011947160586714745,0.0193308237940073,0.021220006048679352,0.09256201237440109,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,3,Slow reverse movement (0.5 point) L,0,zero,69,8,45,0.014492753623188406,0.3645097613334656,-0.0684957355260849,-0.01353340782225132,-0.05496232956647873,0.04010908305644989,0.06293107569217682,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,3,Slow reverse movement (0.5 point) L,0,temporal_mean,69,8,45,0.014492753623188406,0.3645097613334656,-0.0852721780538559,-0.013841219246387482,-0.07143095880746841,0.01780550926923752,0.09761186689138412,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,4,Support knee bend 15-20° (0.5 point) L,0,zero,69,6,0,1.0,0.8056802153587341,-0.004861433524638414,0.007270500063896179,-0.012131933122873306,0.023870371282100677,0.07927847653627396,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,69,6,0,1.0,0.8056802153587341,0.18422473967075348,0.00426011998206377,0.17996461689472198,0.008377905935049057,0.05963180214166641,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,0,Balance (0.5 point) F,0,zero,69,12,0,0.6376811594202898,0.5531519651412964,-0.0844082236289978,0.006922184489667416,-0.09133040904998779,0.07403577119112015,0.0,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,0,Balance (0.5 point) F,0,temporal_mean,69,12,0,0.6376811594202898,0.5531519651412964,0.05537242442369461,0.02530098706483841,0.0300714373588562,0.01709810458123684,0.0,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,1,Straight back (0.5) L,0,zero,69,6,0,0.7391304347826086,0.6084150671958923,-0.09858299791812897,-0.001452170661650598,-0.09713082760572433,0.0839218944311142,0.023675700649619102,196
