model,exercise,target,seed,split,metric,value
fact,deadlift,00000,123,val,macro_f1,0.5618624338624338
fact,deadlift,00000,123,val,micro_f1,0.6447368421052632
fact,deadlift,00000,123,val,bit_accuracy,0.6823529411764706
fact,deadlift,00000,123,val,exact_match,0.11764705882352941
fact,deadlift,00000,123,test,macro_f1,0.0
fact,deadlift,00000,123,test,micro_f1,0.0
fact,deadlift,00000,123,test,bit_accuracy,0.5362318840579711
fact,deadlift,00000,123,test,exact_match,0.0
fact,deadlift,00000,42,val,macro_f1,0.5021357257878997
fact,deadlift,00000,42,val,micro_f1,0.5945945945945946
fact,deadlift,00000,42,val,bit_accuracy,0.6470588235294118
fact,deadlift,00000,42,val,exact_match,0.11764705882352941
fact,deadlift,00000,42,test,macro_f1,0.0
fact,deadlift,00000,42,test,micro_f1,0.0
fact,deadlift,00000,42,test,bit_accuracy,0.5884057971014492
fact,deadlift,00000,42,test,exact_match,0.014492753623188406
fact,deadlift,00000,7,val,macro_f1,0.5120404876926615
fact,deadlift,00000,7,val,micro_f1,0.5972222222222222
fact,deadlift,00000,7,val,bit_accuracy,0.6588235294117647
fact,deadlift,00000,7,val,exact_match,0.08823529411764706
fact,deadlift,00000,7,test,macro_f1,0.0
fact,deadlift,00000,7,test,micro_f1,0.0
fact,deadlift,00000,7,test,bit_accuracy,0.5826086956521739
fact,deadlift,00000,7,test,exact_match,0.028985507246376812
fact,deadlift,00010,123,val,macro_f1,0.5299067880589619
fact,deadlift,00010,123,val,micro_f1,0.5465116279069767
fact,deadlift,00010,123,val,bit_accuracy,0.6
fact,deadlift,00010,123,val,exact_match,0.20512820512820512
fact,deadlift,00010,123,test,macro_f1,0.1411764705882353
fact,deadlift,00010,123,test,micro_f1,0.32
fact,deadlift,00010,123,test,bit_accuracy,0.5363636363636364
fact,deadlift,00010,123,test,exact_match,0.0
fact,deadlift,00010,42,val,macro_f1,0.5097069365380561
fact,deadlift,00010,42,val,micro_f1,0.525
fact,deadlift,00010,42,val,bit_accuracy,0.6102564102564103
fact,deadlift,00010,42,val,exact_match,0.15384615384615385
fact,deadlift,00010,42,test,macro_f1,0.15327102803738318
fact,deadlift,00010,42,test,micro_f1,0.3923444976076555
fact,deadlift,00010,42,test,bit_accuracy,0.6151515151515151
fact,deadlift,00010,42,test,exact_match,0.0
fact,deadlift,00010,7,val,macro_f1,0.5286587846427663
fact,deadlift,00010,7,val,micro_f1,0.5454545454545454
fact,deadlift,00010,7,val,bit_accuracy,0.6666666666666666
fact,deadlift,00010,7,val,exact_match,0.07692307692307693
fact,deadlift,00010,7,test,macro_f1,0.15094339622641512
fact,deadlift,00010,7,test,micro_f1,0.3864734299516908
fact,deadlift,00010,7,test,bit_accuracy,0.6151515151515151
fact,deadlift,00010,7,test,exact_match,0.015151515151515152
fact,deadlift,00100,123,val,macro_f1,0.42214230214230214
fact,deadlift,00100,123,val,micro_f1,0.56353591160221
fact,deadlift,00100,123,val,bit_accuracy,0.6638297872340425
fact,deadlift,00100,123,val,exact_match,0.1276595744680851
fact,deadlift,00100,123,test,macro_f1,0.13333333333333333
fact,deadlift,00100,123,test,micro_f1,0.36666666666666664
fact,deadlift,00100,123,test,bit_accuracy,0.6545454545454545
fact,deadlift,00100,123,test,exact_match,0.045454545454545456
fact,deadlift,00100,42,val,macro_f1,0.4899641148325359
fact,deadlift,00100,42,val,micro_f1,0.5632183908045977
fact,deadlift,00100,42,val,bit_accuracy,0.676595744680851
fact,deadlift,00100,42,val,exact_match,0.14893617021276595
fact,deadlift,00100,42,test,macro_f1,0.15555555555555556
fact,deadlift,00100,42,test,micro_f1,0.3888888888888889
fact,deadlift,00100,42,test,bit_accuracy,0.6
fact,deadlift,00100,42,test,exact_match,0.0
fact,deadlift,00100,7,val,macro_f1,0.44044444444444436
fact,deadlift,00100,7,val,micro_f1,0.5766871165644172
fact,deadlift,00100,7,val,bit_accuracy,0.7063829787234043
fact,deadlift,00100,7,val,exact_match,0.10638297872340426
fact,deadlift,00100,7,test,macro_f1,0.10666666666666666
fact,deadlift,00100,7,test,micro_f1,0.2857142857142857
fact,deadlift,00100,7,test,bit_accuracy,0.6363636363636364
fact,deadlift,00100,7,test,exact_match,0.0
fact,deadlift,00110,123,val,macro_f1,0.5398086500926722
fact,deadlift,00110,123,val,micro_f1,0.5233644859813084
fact,deadlift,00110,123,val,bit_accuracy,0.7875
fact,deadlift,00110,123,val,exact_match,0.2916666666666667
fact,deadlift,00110,123,test,macro_f1,0.2321924144310823
fact,deadlift,00110,123,test,micro_f1,0.4462809917355372
fact,deadlift,00110,123,test,bit_accuracy,0.593939393939394
fact,deadlift,00110,123,test,exact_match,0.030303030303030304
fact,deadlift,00110,42,val,macro_f1,0.5076402116402117
fact,deadlift,00110,42,val,micro_f1,0.5352112676056338
