model,exercise,target,split,metric,value
fact,deadlift,00000,test,bit_accuracy,0.5690821256038647
fact,deadlift,00000,test,exact_match,0.014492753623188406
fact,deadlift,00000,test,macro_f1,0.0
fact,deadlift,00000,test,micro_f1,0.0
fact,deadlift,00000,val,bit_accuracy,0.6627450980392157
fact,deadlift,00000,val,exact_match,0.10784313725490197
fact,deadlift,00000,val,macro_f1,0.5253462157809984
fact,deadlift,00000,val,micro_f1,0.6121845529740266
fact,deadlift,00010,test,bit_accuracy,0.5888888888888889
fact,deadlift,00010,test,exact_match,0.005050505050505051
fact,deadlift,00010,test,macro_f1,0.14846363161734452
fact,deadlift,00010,test,micro_f1,0.36627264251978214
fact,deadlift,00010,val,bit_accuracy,0.6256410256410256
fact,deadlift,00010,val,exact_match,0.1452991452991453
fact,deadlift,00010,val,macro_f1,0.5227575030799281
fact,deadlift,00010,val,micro_f1,0.5389887244538407
fact,deadlift,00100,test,bit_accuracy,0.6303030303030303
fact,deadlift,00100,test,exact_match,0.015151515151515152
fact,deadlift,00100,test,macro_f1,0.13185185185185186
fact,deadlift,00100,test,micro_f1,0.34708994708994706
fact,deadlift,00100,val,bit_accuracy,0.6822695035460993
fact,deadlift,00100,val,exact_match,0.1276595744680851
fact,deadlift,00100,val,macro_f1,0.45085028713976083
fact,deadlift,00100,val,micro_f1,0.5678138063237416
fact,deadlift,00110,test,bit_accuracy,0.6727272727272728
fact,deadlift,00110,test,exact_match,0.050505050505050504
fact,deadlift,00110,test,macro_f1,0.2578128643271855
fact,deadlift,00110,test,micro_f1,0.5414406965602133
fact,deadlift,00110,val,bit_accuracy,0.7541666666666668
fact,deadlift,00110,val,exact_match,0.2152777777777778
fact,deadlift,00110,val,macro_f1,0.5188885976499383
fact,deadlift,00110,val,micro_f1,0.5391330943329024
fact,deadlift,11110,test,bit_accuracy,0.52
fact,deadlift,11110,test,exact_match,0.03333333333333333
fact,deadlift,11110,test,macro_f1,0.3997805313594787
fact,deadlift,11110,test,micro_f1,0.5637752368707045
fact,deadlift,11110,val,bit_accuracy,0.6948717948717947
fact,deadlift,11110,val,exact_match,0.1282051282051282
fact,deadlift,11110,val,macro_f1,0.4918160765056496
fact,deadlift,11110,val,micro_f1,0.6131378284196879
fact,squat,000000,test,bit_accuracy,0.6013071895424836
fact,squat,000000,test,exact_match,0.0
fact,squat,000000,test,macro_f1,0.0
fact,squat,000000,test,micro_f1,0.0
fact,squat,000000,val,bit_accuracy,0.8004115226337448
fact,squat,000000,val,exact_match,0.27777777777777773
fact,squat,000000,val,macro_f1,0.668097481913148
fact,squat,000000,val,micro_f1,0.7629931938571559
fact,squat,000001,test,bit_accuracy,0.6868686868686869
fact,squat,000001,test,exact_match,0.030303030303030304
fact,squat,000001,test,macro_f1,0.12299039392210771
fact,squat,000001,test,micro_f1,0.3926261691849111
fact,squat,000001,val,bit_accuracy,0.7528344671201813
fact,squat,000001,val,exact_match,0.2448979591836735
fact,squat,000001,val,macro_f1,0.6446306401928927
fact,squat,000001,val,micro_f1,0.6937566137566137
fact,squat,000101,test,bit_accuracy,0.7752525252525252
fact,squat,000101,test,exact_match,0.04545454545454545
fact,squat,000101,test,macro_f1,0.21280237400780697
fact,squat,000101,test,micro_f1,0.5993425278669942
fact,squat,000101,val,bit_accuracy,0.7767489711934156
fact,squat,000101,val,exact_match,0.2037037037037037
fact,squat,000101,val,macro_f1,0.610497889236351
fact,squat,000101,val,micro_f1,0.6931196282031581
fact,squat,010101,test,bit_accuracy,0.5925925925925926
fact,squat,010101,test,exact_match,0.08888888888888889
fact,squat,010101,test,macro_f1,0.27218835476548725
fact,squat,010101,test,micro_f1,0.519572906239573
fact,squat,010101,val,bit_accuracy,0.7535353535353536
fact,squat,010101,val,exact_match,0.2484848484848485
fact,squat,010101,val,macro_f1,0.6467098809829008
fact,squat,010101,val,micro_f1,0.6881867266591676
fact,squat,100001,test,bit_accuracy,0.7350427350427351
fact,squat,100001,test,exact_match,0.2371794871794872
fact,squat,100001,test,macro_f1,0.2781951530718798
fact,squat,100001,test,micro_f1,0.6495586594888211
fact,squat,100001,val,bit_accuracy,0.7433333333333333
fact,squat,100001,val,exact_match,0.13333333333333333
fact,squat,100001,val,macro_f1,0.6303469793567322
fact,squat,100001,val,micro_f1,0.6980717868542765
fact,squat,100101,test,bit_accuracy,0.7330246913580246
fact,squat,100101,test,exact_match,0.08333333333333333
fact,squat,100101,test,macro_f1,0.42032682345355105
fact,squat,100101,test,micro_f1,0.7331385063351954
