model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000000001,123,0,0,1.0,12.0,204.0,843.0,0.19484240687679083,1.0,105.0,True
gru,cpr,0000000000001,123,1,0,1.0,0.0,74.0,973.0,0.07067812798471824,1.0,105.0,True
gru,cpr,0000000000001,123,2,0,1.0,12.0,95.0,952.0,0.09073543457497613,1.0,105.0,True
gru,cpr,0000000000001,123,3,0,1.0,5.0,152.0,895.0,0.1451766953199618,1.0,105.0,False
gru,cpr,0000000000001,123,4,0,1.0,7.0,139.0,908.0,0.13276026743075453,1.0,105.0,False
gru,cpr,0000000000001,123,5,0,1.0,0.0,154.0,893.0,0.14708691499522444,1.0,105.0,False
gru,cpr,0000000000001,123,6,0,1.0,10.0,146.0,901.0,0.13944603629417382,1.0,105.0,False
gru,cpr,0000000000001,123,7,0,1.0,5.0,165.0,882.0,0.15759312320916904,1.0,105.0,False
gru,cpr,0000000000001,123,8,0,1.0,0.0,180.0,867.0,0.17191977077363896,1.0,105.0,False
gru,cpr,0000000000001,123,9,0,0.05,12.0,178.0,869.0,0.17000955109837632,1.0,105.0,False
gru,cpr,0000000000001,123,10,0,0.65,0.0,129.0,918.0,0.12320916905444126,1.0,105.0,False
gru,cpr,0000000000001,123,11,0,0.2,0.0,87.0,960.0,0.0830945558739255,1.0,105.0,False
gru,cpr,0000000000001,123,12,1,0.15,42.0,976.0,71.0,0.9321872015281757,1.0,105.0,False
gru,cpr,0000000000001,42,0,0,1.0,12.0,200.0,871.0,0.18674136321195145,1.0,114.0,True
gru,cpr,0000000000001,42,1,0,1.0,0.0,75.0,996.0,0.0700280112044818,1.0,114.0,True
gru,cpr,0000000000001,42,2,0,1.0,12.0,93.0,978.0,0.08683473389355742,1.0,114.0,True
gru,cpr,0000000000001,42,3,0,1.0,7.0,175.0,896.0,0.16339869281045752,1.0,114.0,False
gru,cpr,0000000000001,42,4,0,1.0,12.0,143.0,928.0,0.13352007469654528,1.0,114.0,False
gru,cpr,0000000000001,42,5,0,0.0,0.0,140.0,931.0,0.13071895424836602,1.0,114.0,False
gru,cpr,0000000000001,42,6,0,1.0,10.0,146.0,925.0,0.13632119514472454,1.0,114.0,False
gru,cpr,0000000000001,42,7,0,1.0,12.0,143.0,928.0,0.13352007469654528,1.0,114.0,False
gru,cpr,0000000000001,42,8,0,0.0,0.0,181.0,890.0,0.16900093370681607,1.0,114.0,False
gru,cpr,0000000000001,42,9,0,1.0,7.0,182.0,889.0,0.16993464052287582,1.0,114.0,False
gru,cpr,0000000000001,42,10,0,1.0,0.0,133.0,938.0,0.12418300653594772,1.0,114.0,False
gru,cpr,0000000000001,42,11,0,1.0,0.0,75.0,996.0,0.0700280112044818,1.0,114.0,False
gru,cpr,0000000000001,42,12,1,0.0,42.0,999.0,72.0,0.9327731092436975,1.0,114.0,False
gru,cpr,0000000000001,7,0,0,0.85,12.0,200.0,871.0,0.18674136321195145,1.0,114.0,True
gru,cpr,0000000000001,7,1,0,0.95,0.0,75.0,996.0,0.0700280112044818,1.0,114.0,True
gru,cpr,0000000000001,7,2,0,1.0,12.0,93.0,978.0,0.08683473389355742,1.0,114.0,True
gru,cpr,0000000000001,7,3,0,1.0,7.0,175.0,896.0,0.16339869281045752,1.0,114.0,False
gru,cpr,0000000000001,7,4,0,1.0,12.0,143.0,928.0,0.13352007469654528,1.0,114.0,False
gru,cpr,0000000000001,7,5,0,0.95,0.0,140.0,931.0,0.13071895424836602,1.0,114.0,False
gru,cpr,0000000000001,7,6,0,1.0,10.0,146.0,925.0,0.13632119514472454,1.0,114.0,False
gru,cpr,0000000000001,7,7,0,1.0,12.0,143.0,928.0,0.13352007469654528,1.0,114.0,False
gru,cpr,0000000000001,7,8,0,0.6,0.0,181.0,890.0,0.16900093370681607,1.0,114.0,False
gru,cpr,0000000000001,7,9,0,0.4,7.0,182.0,889.0,0.16993464052287582,1.0,114.0,False
gru,cpr,0000000000001,7,10,0,0.95,0.0,133.0,938.0,0.12418300653594772,1.0,114.0,False
gru,cpr,0000000000001,7,11,0,0.65,0.0,75.0,996.0,0.0700280112044818,1.0,114.0,False
gru,cpr,0000000000001,7,12,1,0.05,42.0,999.0,72.0,0.9327731092436975,1.0,114.0,False
gru,cpr,0000000000010,123,0,0,1.0,7.0,195.0,856.0,0.18553758325404376,1.0,99.0,True
gru,cpr,0000000000010,123,1,0,1.0,12.0,92.0,959.0,0.08753568030447194,1.0,99.0,True
gru,cpr,0000000000010,123,2,0,1.0,0.0,95.0,956.0,0.09039010466222645,1.0,99.0,True
gru,cpr,0000000000010,123,3,0,1.0,0.0,180.0,871.0,0.17126546146527116,1.0,99.0,False
gru,cpr,0000000000010,123,4,0,1.0,0.0,151.0,900.0,0.14367269267364416,1.0,99.0,False
gru,cpr,0000000000010,123,5,0,1.0,7.0,165.0,886.0,0.15699333967649856,1.0,99.0,False
gru,cpr,0000000000010,123,6,0,1.0,12.0,138.0,913.0,0.1313035204567079,1.0,99.0,False
gru,cpr,0000000000010,123,7,0,1.0,12.0,157.0,894.0,0.1493815413891532,1.0,99.0,False
gru,cpr,0000000000010,123,8,0,1.0,0.0,148.0,903.0,0.14081826831588962,1.0,99.0,False
gru,cpr,0000000000010,123,9,0,0.4,7.0,165.0,886.0,0.15699333967649856,1.0,99.0,False
gru,cpr,0000000000010,123,10,0,0.65,0.0,135.0,916.0,0.12844909609895339,1.0,99.0,False
gru,cpr,0000000000010,123,11,1,0.0,42.0,994.0,57.0,0.9457659372026641,1.0,99.0,False
gru,cpr,0000000000010,123,12,0,1.0,0.0,102.0,949.0,0.09705042816365367,1.0,99.0,False
gru,cpr,0000000000010,42,0,0,1.0,7.0,195.0,856.0,0.18553758325404376,1.0,99.0,True
gru,cpr,0000000000010,42,1,0,0.95,12.0,92.0,959.0,0.08753568030447194,1.0,99.0,True
gru,cpr,0000000000010,42,2,0,1.0,0.0,95.0,956.0,0.09039010466222645,1.0,99.0,True
gru,cpr,0000000000010,42,3,0,1.0,0.0,180.0,871.0,0.17126546146527116,1.0,99.0,False
gru,cpr,0000000000010,42,4,0,1.0,0.0,151.0,900.0,0.14367269267364416,1.0,99.0,False
gru,cpr,0000000000010,42,5,0,1.0,7.0,165.0,886.0,0.15699333967649856,1.0,99.0,False
gru,cpr,0000000000010,42,6,0,1.0,12.0,138.0,913.0,0.1313035204567079,1.0,99.0,False
gru,cpr,0000000000010,42,7,0,1.0,12.0,157.0,894.0,0.1493815413891532,1.0,99.0,False
gru,cpr,0000000000010,42,8,0,1.0,0.0,148.0,903.0,0.14081826831588962,1.0,99.0,False
gru,cpr,0000000000010,42,9,0,0.4,7.0,165.0,886.0,0.15699333967649856,1.0,99.0,False
gru,cpr,0000000000010,42,10,0,0.75,0.0,135.0,916.0,0.12844909609895339,1.0,99.0,False
gru,cpr,0000000000010,42,11,1,0.05,42.0,994.0,57.0,0.9457659372026641,1.0,99.0,False
gru,cpr,0000000000010,42,12,0,1.0,0.0,102.0,949.0,0.09705042816365367,1.0,99.0,False
gru,cpr,0000000000010,7,0,0,1.0,7.0,195.0,856.0,0.18553758325404376,1.0,99.0,True
gru,cpr,0000000000010,7,1,0,1.0,12.0,92.0,959.0,0.08753568030447194,1.0,99.0,True
gru,cpr,0000000000010,7,2,0,1.0,0.0,95.0,956.0,0.09039010466222645,1.0,99.0,True
gru,cpr,0000000000010,7,3,0,1.0,0.0,180.0,871.0,0.17126546146527116,1.0,99.0,False
gru,cpr,0000000000010,7,4,0,1.0,0.0,151.0,900.0,0.14367269267364416,1.0,99.0,False
gru,cpr,0000000000010,7,5,0,1.0,7.0,165.0,886.0,0.15699333967649856,1.0,99.0,False
gru,cpr,0000000000010,7,6,0,1.0,12.0,138.0,913.0,0.1313035204567079,1.0,99.0,False
gru,cpr,0000000000010,7,7,0,1.0,12.0,157.0,894.0,0.1493815413891532,1.0,99.0,False
gru,cpr,0000000000010,7,8,0,0.5,0.0,148.0,903.0,0.14081826831588962,1.0,99.0,False
gru,cpr,0000000000010,7,9,0,0.0,7.0,165.0,886.0,0.15699333967649856,1.0,99.0,False
gru,cpr,0000000000010,7,10,0,0.5,0.0,135.0,916.0,0.12844909609895339,1.0,99.0,False
gru,cpr,0000000000010,7,11,1,1.0,42.0,994.0,57.0,0.9457659372026641,1.0,99.0,False
gru,cpr,0000000000010,7,12,0,1.0,0.0,102.0,949.0,0.09705042816365367,1.0,99.0,False
gru,cpr,0000000000100,123,0,0,0.95,12.0,207.0,840.0,0.1977077363896848,1.0,138.0,True
gru,cpr,0000000000100,123,1,0,1.0,10.0,94.0,953.0,0.08978032473734479,1.0,138.0,True
gru,cpr,0000000000100,123,2,0,1.0,12.0,63.0,984.0,0.06017191977077364,1.0,138.0,True
gru,cpr,0000000000100,123,3,0,1.0,12.0,162.0,885.0,0.15472779369627507,1.0,138.0,False
gru,cpr,0000000000100,123,4,0,1.0,12.0,145.0,902.0,0.1384909264565425,1.0,138.0,False
gru,cpr,0000000000100,123,5,0,1.0,7.0,166.0,881.0,0.15854823304680038,1.0,138.0,False
gru,cpr,0000000000100,123,6,0,1.0,12.0,138.0,909.0,0.1318051575931232,1.0,138.0,False
gru,cpr,0000000000100,123,7,0,1.0,7.0,165.0,882.0,0.15759312320916904,1.0,138.0,False
gru,cpr,0000000000100,123,8,0,1.0,5.0,176.0,871.0,0.16809933142311365,1.0,138.0,False
gru,cpr,0000000000100,123,9,0,0.1,7.0,203.0,844.0,0.1938872970391595,1.0,138.0,False
gru,cpr,0000000000100,123,10,1,0.2,42.0,951.0,96.0,0.9083094555873925,1.0,138.0,False
gru,cpr,0000000000100,123,11,0,0.95,0.0,88.0,959.0,0.08404966571155682,1.0,138.0,False
gru,cpr,0000000000100,123,12,0,1.0,0.0,95.0,952.0,0.09073543457497613,1.0,138.0,False
gru,cpr,0000000000100,42,0,0,1.0,12.0,207.0,840.0,0.1977077363896848,1.0,138.0,True
gru,cpr,0000000000100,42,1,0,0.5,10.0,94.0,953.0,0.08978032473734479,1.0,138.0,True
gru,cpr,0000000000100,42,2,0,1.0,12.0,63.0,984.0,0.06017191977077364,1.0,138.0,True
gru,cpr,0000000000100,42,3,0,1.0,12.0,162.0,885.0,0.15472779369627507,1.0,138.0,False
gru,cpr,0000000000100,42,4,0,1.0,12.0,145.0,902.0,0.1384909264565425,1.0,138.0,False
gru,cpr,0000000000100,42,5,0,1.0,7.0,166.0,881.0,0.15854823304680038,1.0,138.0,False
gru,cpr,0000000000100,42,6,0,1.0,12.0,138.0,909.0,0.1318051575931232,1.0,138.0,False
gru,cpr,0000000000100,42,7,0,1.0,7.0,165.0,882.0,0.15759312320916904,1.0,138.0,False
gru,cpr,0000000000100,42,8,0,1.0,5.0,176.0,871.0,0.16809933142311365,1.0,138.0,False
