exercise,target,seed,n_exchange,random_max,optimized_max,random_l1,optimized_l1
cpr,0000000000001,7,22,3,3,22,22
cpr,0000000000001,42,40,5,5,40,40
cpr,0000000000001,123,22,3,3,22,22
cpr,0000000000010,7,40,6,6,40,40
cpr,0000000000010,42,22,4,4,22,22
cpr,0000000000010,123,22,4,4,22,22
cpr,0000000000100,7,22,2,2,22,22
cpr,0000000000100,42,40,4,4,40,40
cpr,0000000000100,123,22,2,2,22,22
cpr,0000000001000,7,40,4,4,40,40
cpr,0000000001000,42,22,2,2,22,22
cpr,0000000001000,123,22,2,2,22,22
cpr,0000000001001,7,7,4,4,7,7
cpr,0000000001001,42,7,4,4,7,7
cpr,0000000001001,123,10,5,5,10,10
cpr,0000000001010,7,7,4,4,7,7
cpr,0000000001010,42,10,5,5,10,10
cpr,0000000001010,123,7,4,4,7,7
cpr,0000000001100,7,7,4,4,7,7
cpr,0000000001100,42,7,4,4,7,7
cpr,0000000001100,123,10,5,5,10,10
cpr,0000000010000,7,22,2,2,22,22
cpr,0000000010000,42,40,4,4,40,40
cpr,0000000010000,123,22,2,2,22,22
cpr,0000000010100,7,10,5,5,10,10
cpr,0000000010100,42,7,4,4,7,7
cpr,0000000010100,123,7,4,4,7,7
cpr,0000000011000,7,7,3,3,8,8
cpr,0000000011000,42,7,3,3,8,8
cpr,0000000011000,123,10,4,4,12,12
cpr,0000000100000,7,40,4,4,40,40
cpr,0000000100000,42,22,2,2,22,22
cpr,0000000100000,123,22,2,2,22,22
cpr,0000000100001,7,7,4,4,7,7
cpr,0000000100001,42,7,4,4,7,7
cpr,0000000100001,123,10,5,5,10,10
cpr,0000000100010,7,7,3,3,7,7
cpr,0000000100010,42,10,4,4,10,10
cpr,0000000100010,123,7,3,3,7,7
cpr,0000000100100,7,7,4,4,7,7
cpr,0000000100100,42,7,4,4,7,7
cpr,0000000100100,123,10,5,5,10,10
cpr,0000000101000,7,7,4,4,7,7
cpr,0000000101000,42,10,5,5,10,10
cpr,0000000101000,123,7,4,4,7,7
cpr,0000000110000,7,7,4,4,7,7
cpr,0000000110000,42,7,4,4,7,7
cpr,0000000110000,123,10,5,5,10,10
cpr,0000001000000,7,22,2,2,22,22
cpr,0000001000000,42,40,4,4,40,40
cpr,0000001000000,123,22,2,2,22,22
cpr,0000001000001,7,10,5,5,10,10
cpr,0000001000001,42,7,4,4,7,7
cpr,0000001000001,123,7,4,4,7,7
cpr,0000001000010,7,7,4,4,7,7
cpr,0000001000010,42,7,4,4,7,7
cpr,0000001000010,123,10,5,5,10,10
cpr,0000001000100,7,10,5,5,10,10
cpr,0000001000100,42,7,4,4,7,7
cpr,0000001000100,123,7,4,4,7,7
cpr,0000001001000,7,7,4,4,7,7
cpr,0000001001000,42,7,4,4,7,7
cpr,0000001001000,123,10,5,5,10,10
cpr,0000001010000,7,10,4,4,10,10
cpr,0000001010000,42,7,3,3,7,7
cpr,0000001010000,123,7,3,3,7,7
cpr,0000010000000,7,40,4,4,40,40
cpr,0000010000000,42,22,2,2,22,22
cpr,0000010000000,123,22,2,2,22,22
cpr,0000010000010,7,7,4,4,7,7
cpr,0000010000010,42,10,5,5,10,10
cpr,0000010000010,123,7,4,4,7,7
cpr,0000010000100,7,7,4,4,7,7
cpr,0000010000100,42,7,4,4,7,7
cpr,0000010000100,123,10,5,5,10,10
cpr,0000010001000,7,7,3,3,7,7
cpr,0000010001000,42,10,4,4,10,10
cpr,0000010001000,123,7,3,3,7,7
cpr,0000010010000,7,7,3,3,8,8
cpr,0000010010000,42,7,3,3,8,8
cpr,0000010010000,123,10,4,4,12,12
cpr,0000010100000,7,7,4,4,7,7
cpr,0000010100000,42,10,5,5,10,10
cpr,0000010100000,123,7,4,4,7,7
cpr,0000011000000,7,7,4,4,7,7
cpr,0000011000000,42,7,4,4,7,7
cpr,0000011000000,123,10,5,5,10,10
cpr,0000100000000,7,22,3,3,22,22
cpr,0000100000000,42,40,5,5,40,40
cpr,0000100000000,123,22,3,3,22,22
cpr,0000100000001,7,10,4,4,12,12
cpr,0000100000001,42,7,3,3,8,8
cpr,0000100000001,123,7,3,3,8,8
cpr,0000100000100,7,10,5,5,10,10
cpr,0000100000100,42,7,4,4,7,7
cpr,0000100000100,123,7,4,4,7,7
cpr,0000100001000,7,7,3,3,7,7
cpr,0000100001000,42,7,3,3,7,7
cpr,0000100001000,123,10,4,4,10,10
cpr,0000100010000,7,10,3,3,10,10
cpr,0000100010000,42,7,2,2,7,7
cpr,0000100010000,123,7,2,2,7,7
cpr,0000100100000,7,7,4,4,7,7
cpr,0000100100000,42,7,4,4,7,7
cpr,0000100100000,123,10,5,5,10,10
cpr,0000101000000,7,10,4,4,10,10
cpr,0000101000000,42,7,3,3,7,7
cpr,0000101000000,123,7,3,3,7,7
cpr,0001000000000,7,40,5,5,40,40
cpr,0001000000000,42,22,3,3,22,22
cpr,0001000000000,123,22,3,3,22,22
cpr,0001000000001,7,7,4,4,7,7
