model,exercise,target,seed,condition,metric,value
gru,cpr,0000000000001,123,seen,macro_f1,0.0728744939271255
gru,cpr,0000000000001,123,seen,micro_f1,0.5
gru,cpr,0000000000001,123,seen,bit_accuracy,0.8615384615384616
gru,cpr,0000000000001,123,seen,exact_match,0.1
gru,cpr,0000000000001,123,unseen,macro_f1,0.020066889632107024
gru,cpr,0000000000001,123,unseen,micro_f1,0.09230769230769231
gru,cpr,0000000000001,123,unseen,bit_accuracy,0.7730769230769231
gru,cpr,0000000000001,123,unseen,exact_match,0.05
gru,cpr,0000000000001,42,seen,macro_f1,0.0
gru,cpr,0000000000001,42,seen,micro_f1,0.0
gru,cpr,0000000000001,42,seen,bit_accuracy,0.7307692307692307
gru,cpr,0000000000001,42,seen,exact_match,0.0
gru,cpr,0000000000001,42,unseen,macro_f1,0.0
gru,cpr,0000000000001,42,unseen,micro_f1,0.0
gru,cpr,0000000000001,42,unseen,bit_accuracy,0.7692307692307693
gru,cpr,0000000000001,42,unseen,exact_match,0.0
gru,cpr,0000000000001,7,seen,macro_f1,0.03076923076923077
gru,cpr,0000000000001,7,seen,micro_f1,0.19230769230769232
gru,cpr,0000000000001,7,seen,bit_accuracy,0.8384615384615385
gru,cpr,0000000000001,7,seen,exact_match,0.15
gru,cpr,0000000000001,7,unseen,macro_f1,0.007326007326007326
gru,cpr,0000000000001,7,unseen,micro_f1,0.037037037037037035
gru,cpr,0000000000001,7,unseen,bit_accuracy,0.8
gru,cpr,0000000000001,7,unseen,exact_match,0.0
gru,cpr,0000000000010,123,seen,macro_f1,0.06837606837606837
gru,cpr,0000000000010,123,seen,micro_f1,0.48484848484848486
gru,cpr,0000000000010,123,seen,bit_accuracy,0.8692307692307693
gru,cpr,0000000000010,123,seen,exact_match,0.0
gru,cpr,0000000000010,123,unseen,macro_f1,0.0
gru,cpr,0000000000010,123,unseen,micro_f1,0.0
gru,cpr,0000000000010,123,unseen,bit_accuracy,0.85
gru,cpr,0000000000010,123,unseen,exact_match,0.0
gru,cpr,0000000000010,42,seen,macro_f1,0.02564102564102564
gru,cpr,0000000000010,42,seen,micro_f1,0.20512820512820512
gru,cpr,0000000000010,42,seen,bit_accuracy,0.8807692307692307
gru,cpr,0000000000010,42,seen,exact_match,0.2
gru,cpr,0000000000010,42,unseen,macro_f1,0.007326007326007326
gru,cpr,0000000000010,42,unseen,micro_f1,0.05128205128205128
gru,cpr,0000000000010,42,unseen,bit_accuracy,0.8576923076923076
gru,cpr,0000000000010,42,unseen,exact_match,0.0
gru,cpr,0000000000010,7,seen,macro_f1,0.07692307692307693
gru,cpr,0000000000010,7,seen,micro_f1,0.6666666666666666
gru,cpr,0000000000010,7,seen,bit_accuracy,0.9230769230769231
