model,exercise,target,condition,metric,value
gru,cpr,0000000000001,seen,bit_accuracy,0.8102564102564104
gru,cpr,0000000000001,seen,exact_match,0.08333333333333333
gru,cpr,0000000000001,seen,macro_f1,0.03454790823211876
gru,cpr,0000000000001,seen,micro_f1,0.23076923076923075
gru,cpr,0000000000001,unseen,bit_accuracy,0.7807692307692308
gru,cpr,0000000000001,unseen,exact_match,0.016666666666666666
gru,cpr,0000000000001,unseen,macro_f1,0.009130965652704784
gru,cpr,0000000000001,unseen,micro_f1,0.04311490978157645
gru,cpr,0000000000010,seen,bit_accuracy,0.8910256410256411
gru,cpr,0000000000010,seen,exact_match,0.06666666666666667
gru,cpr,0000000000010,seen,macro_f1,0.05698005698005698
gru,cpr,0000000000010,seen,micro_f1,0.4522144522144522
gru,cpr,0000000000010,unseen,bit_accuracy,0.8512820512820513
gru,cpr,0000000000010,unseen,exact_match,0.0
gru,cpr,0000000000010,unseen,macro_f1,0.028083028083028084
gru,cpr,0000000000010,unseen,micro_f1,0.18376068376068377
gru,cpr,0000000000100,seen,bit_accuracy,0.8871794871794871
gru,cpr,0000000000100,seen,exact_match,0.16666666666666666
gru,cpr,0000000000100,seen,macro_f1,0.03529087400055142
gru,cpr,0000000000100,seen,micro_f1,0.3115079365079365
gru,cpr,0000000000100,unseen,bit_accuracy,0.817948717948718
gru,cpr,0000000000100,unseen,exact_match,0.0
gru,cpr,0000000000100,unseen,macro_f1,0.03232998885172798
gru,cpr,0000000000100,unseen,micro_f1,0.18810222036028487
gru,cpr,0000000001000,seen,bit_accuracy,0.8807692307692307
gru,cpr,0000000001000,seen,exact_match,0.06666666666666667
gru,cpr,0000000001000,seen,macro_f1,0.019536019536019536
gru,cpr,0000000001000,seen,micro_f1,0.1593878312803285
gru,cpr,0000000001000,unseen,bit_accuracy,0.8320512820512821
gru,cpr,0000000001000,unseen,exact_match,0.0
gru,cpr,0000000001000,unseen,macro_f1,0.002442002442002442
gru,cpr,0000000001000,unseen,micro_f1,0.015873015873015872
gru,cpr,0000000001001,seen,bit_accuracy,0.8435897435897436
gru,cpr,0000000001001,seen,exact_match,0.06666666666666667
gru,cpr,0000000001001,seen,macro_f1,0.10612535612535612
gru,cpr,0000000001001,seen,micro_f1,0.5481481481481482
gru,cpr,0000000001001,unseen,bit_accuracy,0.8205128205128206
gru,cpr,0000000001001,unseen,exact_match,0.0
gru,cpr,0000000001001,unseen,macro_f1,0.07448107448107448
gru,cpr,0000000001001,unseen,micro_f1,0.43467492260061924
gru,cpr,0000000001010,seen,bit_accuracy,0.7923076923076923
gru,cpr,0000000001010,seen,exact_match,0.06666666666666667
gru,cpr,0000000001010,seen,macro_f1,0.09340659340659341
gru,cpr,0000000001010,seen,micro_f1,0.43715415019762843
gru,cpr,0000000001010,unseen,bit_accuracy,0.8153846153846155
gru,cpr,0000000001010,unseen,exact_match,0.13333333333333333
gru,cpr,0000000001010,unseen,macro_f1,0.11721611721611723
gru,cpr,0000000001010,unseen,micro_f1,0.5683760683760684
gru,cpr,0000000001100,seen,bit_accuracy,0.882051282051282
gru,cpr,0000000001100,seen,exact_match,0.16666666666666666
gru,cpr,0000000001100,seen,macro_f1,0.1339031339031339
gru,cpr,0000000001100,seen,micro_f1,0.6630769230769231
gru,cpr,0000000001100,unseen,bit_accuracy,0.858974358974359
gru,cpr,0000000001100,unseen,exact_match,0.06666666666666667
gru,cpr,0000000001100,unseen,macro_f1,0.1274928774928775
gru,cpr,0000000001100,unseen,micro_f1,0.6092592592592593
gru,cpr,0000000010000,seen,bit_accuracy,0.8974358974358975
gru,cpr,0000000010000,seen,exact_match,0.5166666666666667
gru,cpr,0000000010000,seen,macro_f1,0.05062458908612755
gru,cpr,0000000010000,seen,micro_f1,0.5909090909090909
gru,cpr,0000000010000,unseen,bit_accuracy,0.8038461538461538
