model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
fact,deadlift,00000,123,0,0,0.7101449275362319,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
fact,deadlift,00000,123,1,0,0.6521739130434783,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
fact,deadlift,00000,123,2,0,0.391304347826087,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
fact,deadlift,00000,123,3,0,0.0,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
fact,deadlift,00000,123,4,0,0.927536231884058,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
fact,deadlift,00000,42,0,0,0.6521739130434783,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
fact,deadlift,00000,42,1,0,0.782608695652174,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
fact,deadlift,00000,42,2,0,0.4927536231884058,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
fact,deadlift,00000,42,3,0,0.014492753623188406,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
fact,deadlift,00000,42,4,0,1.0,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
fact,deadlift,00000,7,0,0,0.6376811594202898,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
fact,deadlift,00000,7,1,0,0.7391304347826086,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
fact,deadlift,00000,7,2,0,0.5217391304347826,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
fact,deadlift,00000,7,3,0,0.07246376811594203,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
fact,deadlift,00000,7,4,0,0.9420289855072463,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
fact,deadlift,00010,123,0,0,0.48484848484848486,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
fact,deadlift,00010,123,1,0,0.6060606060606061,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
fact,deadlift,00010,123,2,0,0.19696969696969696,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
fact,deadlift,00010,123,3,1,0.5454545454545454,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
fact,deadlift,00010,123,4,0,0.8484848484848485,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
fact,deadlift,00010,42,0,0,0.696969696969697,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
fact,deadlift,00010,42,1,0,0.7272727272727273,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
fact,deadlift,00010,42,2,0,0.2727272727272727,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
fact,deadlift,00010,42,3,1,0.6212121212121212,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
fact,deadlift,00010,42,4,0,0.7575757575757576,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
fact,deadlift,00010,7,0,0,0.7575757575757576,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
fact,deadlift,00010,7,1,0,0.6818181818181818,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
fact,deadlift,00010,7,2,0,0.18181818181818182,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
fact,deadlift,00010,7,3,1,0.6060606060606061,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
fact,deadlift,00010,7,4,0,0.8484848484848485,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
fact,deadlift,00100,123,0,0,0.9090909090909091,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
fact,deadlift,00100,123,1,0,0.6363636363636364,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
fact,deadlift,00100,123,2,1,0.5,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
fact,deadlift,00100,123,3,0,0.2727272727272727,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
fact,deadlift,00100,123,4,0,0.9545454545454546,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
fact,deadlift,00100,42,0,0,0.9090909090909091,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
fact,deadlift,00100,42,1,0,0.6818181818181818,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
fact,deadlift,00100,42,2,1,0.6363636363636364,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
fact,deadlift,00100,42,3,0,0.13636363636363635,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
fact,deadlift,00100,42,4,0,0.6363636363636364,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
fact,deadlift,00100,7,0,0,0.8636363636363636,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
fact,deadlift,00100,7,1,0,0.8181818181818182,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
fact,deadlift,00100,7,2,1,0.36363636363636365,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
fact,deadlift,00100,7,3,0,0.18181818181818182,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
fact,deadlift,00100,7,4,0,0.9545454545454546,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
fact,deadlift,00110,123,0,0,0.7878787878787878,0.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,123,1,0,0.6666666666666666,7.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,123,2,1,0.42424242424242425,53.0,127.0,51.0,0.7134831460674157,33.0,2.0,91.0
fact,deadlift,00110,123,3,1,0.3939393939393939,22.0,98.0,80.0,0.550561797752809,33.0,2.0,91.0
fact,deadlift,00110,123,4,0,0.696969696969697,9.0,9.0,169.0,0.05056179775280899,33.0,2.0,91.0
fact,deadlift,00110,42,0,0,0.7878787878787878,0.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,42,1,0,0.7575757575757576,7.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,42,2,1,0.45454545454545453,53.0,127.0,51.0,0.7134831460674157,33.0,2.0,91.0
fact,deadlift,00110,42,3,1,0.5757575757575758,22.0,98.0,80.0,0.550561797752809,33.0,2.0,91.0
fact,deadlift,00110,42,4,0,0.9090909090909091,9.0,9.0,169.0,0.05056179775280899,33.0,2.0,91.0
fact,deadlift,00110,7,0,0,0.8787878787878788,0.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,7,1,0,0.9393939393939394,7.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,7,2,1,0.42424242424242425,53.0,127.0,51.0,0.7134831460674157,33.0,2.0,91.0
fact,deadlift,00110,7,3,1,0.6060606060606061,22.0,98.0,80.0,0.550561797752809,33.0,2.0,91.0
fact,deadlift,00110,7,4,0,0.7878787878787878,9.0,9.0,169.0,0.05056179775280899,33.0,2.0,91.0
fact,deadlift,11110,123,0,1,0.3,1.0,186.0,16.0,0.9207920792079208,10.0,4.0,2.0
fact,deadlift,11110,123,1,1,0.6,1.0,192.0,10.0,0.9504950495049505,10.0,4.0,2.0
fact,deadlift,11110,123,2,1,0.9,0.0,152.0,50.0,0.7524752475247525,10.0,4.0,2.0
fact,deadlift,11110,123,3,1,0.3,0.0,101.0,101.0,0.5,10.0,4.0,2.0
fact,deadlift,11110,123,4,0,1.0,0.0,9.0,193.0,0.04455445544554455,10.0,4.0,2.0
fact,deadlift,11110,42,0,1,0.0,1.0,186.0,16.0,0.9207920792079208,10.0,4.0,2.0
fact,deadlift,11110,42,1,1,0.2,1.0,192.0,10.0,0.9504950495049505,10.0,4.0,2.0
fact,deadlift,11110,42,2,1,0.8,0.0,152.0,50.0,0.7524752475247525,10.0,4.0,2.0
fact,deadlift,11110,42,3,1,0.6,0.0,101.0,101.0,0.5,10.0,4.0,2.0
fact,deadlift,11110,42,4,0,1.0,0.0,9.0,193.0,0.04455445544554455,10.0,4.0,2.0
fact,deadlift,11110,7,0,1,0.0,1.0,186.0,16.0,0.9207920792079208,10.0,4.0,2.0
fact,deadlift,11110,7,1,1,0.2,1.0,192.0,10.0,0.9504950495049505,10.0,4.0,2.0
fact,deadlift,11110,7,2,1,0.8,0.0,152.0,50.0,0.7524752475247525,10.0,4.0,2.0
fact,deadlift,11110,7,3,1,0.1,0.0,101.0,101.0,0.5,10.0,4.0,2.0
fact,deadlift,11110,7,4,0,1.0,0.0,9.0,193.0,0.04455445544554455,10.0,4.0,2.0
fact,squat,000000,123,0,0,0.47058823529411764,1.0,108.0,102.0,0.5142857142857142,17.0,0.0,56.0
fact,squat,000000,123,1,0,1.0,0.0,41.0,169.0,0.19523809523809524,17.0,0.0,56.0
fact,squat,000000,123,2,0,0.8823529411764706,3.0,40.0,170.0,0.19047619047619047,17.0,0.0,56.0
fact,squat,000000,123,3,0,0.47058823529411764,5.0,89.0,121.0,0.4238095238095238,17.0,0.0,56.0
fact,squat,000000,123,4,0,1.0,5.0,10.0,200.0,0.047619047619047616,17.0,0.0,56.0
fact,squat,000000,123,5,0,0.11764705882352941,42.0,192.0,18.0,0.9142857142857143,17.0,0.0,56.0
fact,squat,000000,42,0,0,0.5294117647058824,0.0,121.0,89.0,0.5761904761904761,17.0,0.0,50.0
fact,squat,000000,42,1,0,0.7647058823529411,0.0,34.0,176.0,0.1619047619047619,17.0,0.0,50.0
fact,squat,000000,42,2,0,0.7647058823529411,3.0,40.0,170.0,0.19047619047619047,17.0,0.0,50.0
fact,squat,000000,42,3,0,0.11764705882352941,5.0,80.0,130.0,0.38095238095238093,17.0,0.0,50.0
fact,squat,000000,42,4,0,1.0,5.0,10.0,200.0,0.047619047619047616,17.0,0.0,50.0
fact,squat,000000,42,5,0,0.23529411764705882,37.0,186.0,24.0,0.8857142857142857,17.0,0.0,50.0
fact,squat,000000,7,0,0,0.5882352941176471,0.0,121.0,89.0,0.5761904761904761,17.0,0.0,50.0
fact,squat,000000,7,1,0,0.9411764705882353,0.0,34.0,176.0,0.1619047619047619,17.0,0.0,50.0
fact,squat,000000,7,2,0,0.7647058823529411,3.0,40.0,170.0,0.19047619047619047,17.0,0.0,50.0
fact,squat,000000,7,3,0,0.17647058823529413,5.0,80.0,130.0,0.38095238095238093,17.0,0.0,50.0
fact,squat,000000,7,4,0,1.0,5.0,10.0,200.0,0.047619047619047616,17.0,0.0,50.0
fact,squat,000000,7,5,0,0.0,37.0,186.0,24.0,0.8857142857142857,17.0,0.0,50.0
fact,squat,000001,123,0,0,0.23636363636363636,45.0,115.0,65.0,0.6388888888888888,55.0,1.0,79.0
fact,squat,000001,123,1,0,0.9818181818181818,0.0,36.0,144.0,0.2,55.0,1.0,79.0
fact,squat,000001,123,2,0,0.9454545454545454,7.0,40.0,140.0,0.2222222222222222,55.0,1.0,79.0
fact,squat,000001,123,3,0,0.4727272727272727,22.0,89.0,91.0,0.49444444444444446,55.0,1.0,79.0
fact,squat,000001,123,4,0,0.8909090909090909,0.0,10.0,170.0,0.05555555555555555,55.0,1.0,79.0
fact,squat,000001,123,5,1,0.2545454545454545,5.0,19.0,161.0,0.10555555555555556,55.0,1.0,79.0
fact,squat,000001,42,0,0,0.36363636363636365,45.0,115.0,65.0,0.6388888888888888,55.0,1.0,79.0
fact,squat,000001,42,1,0,0.8363636363636363,0.0,36.0,144.0,0.2,55.0,1.0,79.0
fact,squat,000001,42,2,0,0.8909090909090909,7.0,40.0,140.0,0.2222222222222222,55.0,1.0,79.0
fact,squat,000001,42,3,0,0.6,22.0,89.0,91.0,0.49444444444444446,55.0,1.0,79.0
