model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
fact,deadlift,00000,0,57.333333333333336,0.0,0.6666666666666666,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
fact,deadlift,00000,1,57.333333333333336,0.0,0.7246376811594203,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
fact,deadlift,00000,2,57.333333333333336,0.0,0.46859903381642515,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
fact,deadlift,00000,3,57.333333333333336,0.0,0.028985507246376812,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
fact,deadlift,00000,4,57.333333333333336,0.0,0.9565217391304349,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
fact,deadlift,00010,0,57.333333333333336,0.0,0.6464646464646465,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
fact,deadlift,00010,1,57.333333333333336,0.0,0.6717171717171717,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
fact,deadlift,00010,2,57.333333333333336,0.0,0.21717171717171715,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
fact,deadlift,00010,3,57.333333333333336,1.0,0.5909090909090909,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
fact,deadlift,00010,4,57.333333333333336,0.0,0.8181818181818182,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
fact,deadlift,00100,0,57.333333333333336,0.0,0.8939393939393939,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
fact,deadlift,00100,1,57.333333333333336,0.0,0.712121212121212,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
fact,deadlift,00100,2,57.333333333333336,1.0,0.5,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
fact,deadlift,00100,3,57.333333333333336,0.0,0.19696969696969693,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
fact,deadlift,00100,4,57.333333333333336,0.0,0.8484848484848485,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
fact,deadlift,00110,0,57.333333333333336,0.0,0.8181818181818182,0.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,1,57.333333333333336,0.0,0.787878787878788,7.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
fact,deadlift,00110,2,57.333333333333336,1.0,0.4343434343434343,53.0,127.0,51.0,0.7134831460674157,33.0,2.0,91.0
fact,deadlift,00110,3,57.333333333333336,1.0,0.5252525252525252,22.0,98.0,80.0,0.550561797752809,33.0,2.0,91.0
fact,deadlift,00110,4,57.333333333333336,0.0,0.797979797979798,9.0,9.0,169.0,0.05056179775280898,33.0,2.0,91.0
fact,deadlift,11110,0,57.333333333333336,1.0,0.09999999999999999,1.0,186.0,16.0,0.9207920792079208,10.0,4.0,2.0
fact,deadlift,11110,1,57.333333333333336,1.0,0.3333333333333333,1.0,192.0,10.0,0.9504950495049505,10.0,4.0,2.0
fact,deadlift,11110,2,57.333333333333336,1.0,0.8333333333333334,0.0,152.0,50.0,0.7524752475247526,10.0,4.0,2.0
