model,exercise,target,condition,metric,value
gru,deadlift,00000,seen,bit_accuracy,0.7733333333333333
gru,deadlift,00000,seen,exact_match,0.39999999999999997
gru,deadlift,00000,seen,macro_f1,0.0
gru,deadlift,00000,seen,micro_f1,0.0
gru,deadlift,00000,unseen,bit_accuracy,0.24
gru,deadlift,00000,unseen,exact_match,0.0
gru,deadlift,00000,unseen,macro_f1,0.0
gru,deadlift,00000,unseen,micro_f1,0.0
gru,deadlift,00010,seen,bit_accuracy,0.7799999999999999
gru,deadlift,00010,seen,exact_match,0.25
gru,deadlift,00010,seen,macro_f1,0.1619047619047619
gru,deadlift,00010,seen,micro_f1,0.5747863247863249
gru,deadlift,00010,unseen,bit_accuracy,0.49666666666666665
gru,deadlift,00010,unseen,exact_match,0.0
gru,deadlift,00010,unseen,macro_f1,0.06666666666666667
gru,deadlift,00010,unseen,micro_f1,0.16666666666666666
gru,deadlift,00100,seen,bit_accuracy,0.6133333333333334
gru,deadlift,00100,seen,exact_match,0.0
gru,deadlift,00100,seen,macro_f1,0.13333333333333333
gru,deadlift,00100,seen,micro_f1,0.38888888888888884
gru,deadlift,00100,unseen,bit_accuracy,0.5111111111111111
gru,deadlift,00100,unseen,exact_match,0.0
gru,deadlift,00100,unseen,macro_f1,0.05333333333333334
gru,deadlift,00100,unseen,micro_f1,0.16666666666666666
gru,deadlift,00110,seen,bit_accuracy,0.7611111111111111
gru,deadlift,00110,seen,exact_match,0.25
gru,deadlift,00110,seen,macro_f1,0.35333333333333333
gru,deadlift,00110,seen,micro_f1,0.7359477124183007
gru,deadlift,00110,unseen,bit_accuracy,0.5622222222222222
gru,deadlift,00110,unseen,exact_match,0.0
gru,deadlift,00110,unseen,macro_f1,0.20333333333333334
gru,deadlift,00110,unseen,micro_f1,0.441077441077441
gru,deadlift,11110,seen,bit_accuracy,0.42
gru,deadlift,11110,seen,exact_match,0.06666666666666667
gru,deadlift,11110,seen,macro_f1,0.2737037037037037
gru,deadlift,11110,seen,micro_f1,0.41430395913154533
gru,deadlift,11110,unseen,bit_accuracy,0.3033333333333333
gru,deadlift,11110,unseen,exact_match,0.0
gru,deadlift,11110,unseen,macro_f1,0.15365079365079362
gru,deadlift,11110,unseen,micro_f1,0.21637426900584797
gru,squat,000000,seen,bit_accuracy,0.7000000000000001
gru,squat,000000,seen,exact_match,0.13333333333333333
gru,squat,000000,seen,macro_f1,0.0
gru,squat,000000,seen,micro_f1,0.0
gru,squat,000000,unseen,bit_accuracy,0.5518518518518518
gru,squat,000000,unseen,exact_match,0.0
gru,squat,000000,unseen,macro_f1,0.0
gru,squat,000000,unseen,micro_f1,0.0
gru,squat,000001,seen,bit_accuracy,0.6444444444444445
gru,squat,000001,seen,exact_match,0.0
gru,squat,000001,seen,macro_f1,0.15277777777777776
gru,squat,000001,seen,micro_f1,0.4528567407824374
gru,squat,000001,unseen,bit_accuracy,0.35555555555555557
gru,squat,000001,unseen,exact_match,0.0
gru,squat,000001,unseen,macro_f1,0.0787037037037037
gru,squat,000001,unseen,micro_f1,0.14768526667840168
gru,squat,000101,seen,bit_accuracy,0.8444444444444444
gru,squat,000101,seen,exact_match,0.20000000000000004
gru,squat,000101,seen,macro_f1,0.30709876543209874
gru,squat,000101,seen,micro_f1,0.7873015873015873
gru,squat,000101,unseen,bit_accuracy,0.737037037037037
gru,squat,000101,unseen,exact_match,0.0
gru,squat,000101,unseen,macro_f1,0.23051146384479715
gru,squat,000101,unseen,micro_f1,0.5952380952380952
gru,squat,010101,seen,bit_accuracy,0.9111111111111111
gru,squat,010101,seen,exact_match,0.5333333333333333
gru,squat,010101,seen,macro_f1,0.49382716049382713
gru,squat,010101,seen,micro_f1,0.9201228878648234
gru,squat,010101,unseen,bit_accuracy,0.6851851851851851
gru,squat,010101,unseen,exact_match,0.0
gru,squat,010101,unseen,macro_f1,0.34382716049382717
gru,squat,010101,unseen,micro_f1,0.6718020541549953
gru,squat,100001,seen,bit_accuracy,0.8555555555555555
gru,squat,100001,seen,exact_match,0.6
gru,squat,100001,seen,macro_f1,0.32716049382716045
gru,squat,100001,seen,micro_f1,0.8483870967741934
gru,squat,100001,unseen,bit_accuracy,0.7666666666666666
gru,squat,100001,unseen,exact_match,0.13333333333333333
gru,squat,100001,unseen,macro_f1,0.2762345679012346
gru,squat,100001,unseen,micro_f1,0.677045177045177
gru,squat,100101,seen,bit_accuracy,0.8611111111111112
gru,squat,100101,seen,exact_match,0.4166666666666667
gru,squat,100101,seen,macro_f1,0.43403880070546735
gru,squat,100101,seen,micro_f1,0.8357974910394265
gru,squat,100101,unseen,bit_accuracy,0.6444444444444445
gru,squat,100101,unseen,exact_match,0.0
gru,squat,100101,unseen,macro_f1,0.25436507936507935
gru,squat,100101,unseen,micro_f1,0.5469135802469136
gru,squat,101001,seen,bit_accuracy,0.8555555555555556
gru,squat,101001,seen,exact_match,0.5333333333333333
gru,squat,101001,seen,macro_f1,0.4576719576719577
gru,squat,101001,seen,micro_f1,0.8564102564102565
gru,squat,101001,unseen,bit_accuracy,0.7000000000000001
gru,squat,101001,unseen,exact_match,0.0
gru,squat,101001,unseen,macro_f1,0.30709876543209874
gru,squat,101001,unseen,micro_f1,0.6352991452991453
