exercise,target,seed,n_exchange,random_max,optimized_max,random_l1,optimized_l1
deadlift,00000,7,67,52,33,123,75
deadlift,00000,42,64,51,27,102,70
deadlift,00000,123,64,48,27,100,71
deadlift,00010,7,65,40,24,106,67
deadlift,00010,42,62,37,22,98,65
deadlift,00010,123,61,39,25,95,61
deadlift,00100,7,19,17,5,35,19
deadlift,00100,42,17,13,5,29,17
deadlift,00100,123,20,17,5,32,20
deadlift,00110,7,28,22,9,38,31
deadlift,00110,42,30,26,7,48,30
deadlift,00110,123,29,21,7,49,29
deadlift,11110,7,6,6,3,21,8
deadlift,11110,42,9,9,5,30,15
deadlift,11110,123,5,5,3,15,6
squat,000000,7,12,12,3,25,12
squat,000000,42,12,12,3,27,12
squat,000000,123,14,13,4,30,14
squat,000001,7,50,28,17,84,50
squat,000001,42,50,26,15,82,51
squat,000001,123,50,30,15,85,50
squat,000101,7,19,12,5,34,19
squat,000101,42,17,11,5,35,17
squat,000101,123,17,11,5,32,17
squat,010101,7,12,9,3,24,13
squat,010101,42,13,11,5,32,14
squat,010101,123,10,8,3,20,11
squat,100001,7,47,28,14,74,47
squat,100001,42,47,31,14,94,47
squat,100001,123,47,28,12,81,47
squat,100101,7,31,22,11,57,38
squat,100101,42,31,23,12,57,37
squat,100101,123,32,24,12,61,38
squat,101001,7,20,16,8,34,29
squat,101001,42,20,17,10,40,23
squat,101001,123,20,19,9,54,33
