model,exercise,target,seed,condition,metric,value
gru,deadlift,00000,123,seen,macro_f1,0.0
gru,deadlift,00000,123,seen,micro_f1,0.0
gru,deadlift,00000,123,seen,bit_accuracy,0.6
gru,deadlift,00000,123,seen,exact_match,0.0
gru,deadlift,00000,123,unseen,macro_f1,0.0
gru,deadlift,00000,123,unseen,micro_f1,0.0
gru,deadlift,00000,123,unseen,bit_accuracy,0.32
gru,deadlift,00000,123,unseen,exact_match,0.0
gru,deadlift,00000,42,seen,macro_f1,0.0
gru,deadlift,00000,42,seen,micro_f1,0.0
gru,deadlift,00000,42,seen,bit_accuracy,0.2
gru,deadlift,00000,42,seen,exact_match,0.0
gru,deadlift,00000,42,unseen,macro_f1,0.0
gru,deadlift,00000,42,unseen,micro_f1,0.0
gru,deadlift,00000,42,unseen,bit_accuracy,0.2
gru,deadlift,00000,42,unseen,exact_match,0.0
gru,deadlift,00000,7,seen,macro_f1,0.0
gru,deadlift,00000,7,seen,micro_f1,0.0
gru,deadlift,00000,7,seen,bit_accuracy,0.8
gru,deadlift,00000,7,seen,exact_match,0.0
gru,deadlift,00000,7,unseen,macro_f1,0.0
gru,deadlift,00000,7,unseen,micro_f1,0.0
gru,deadlift,00000,7,unseen,bit_accuracy,0.2
gru,deadlift,00000,7,unseen,exact_match,0.0
gru,deadlift,00010,123,seen,macro_f1,0.0
gru,deadlift,00010,123,seen,micro_f1,0.0
gru,deadlift,00010,123,seen,bit_accuracy,0.6
gru,deadlift,00010,123,seen,exact_match,0.0
gru,deadlift,00010,123,unseen,macro_f1,0.0
gru,deadlift,00010,123,unseen,micro_f1,0.0
gru,deadlift,00010,123,unseen,bit_accuracy,0.44
gru,deadlift,00010,123,unseen,exact_match,0.0
gru,deadlift,00010,42,seen,macro_f1,0.17142857142857143
gru,deadlift,00010,42,seen,micro_f1,0.75
gru,deadlift,00010,42,seen,bit_accuracy,0.9
gru,deadlift,00010,42,seen,exact_match,0.75
gru,deadlift,00010,42,unseen,macro_f1,0.0
gru,deadlift,00010,42,unseen,micro_f1,0.0
gru,deadlift,00010,42,unseen,bit_accuracy,0.45
gru,deadlift,00010,42,unseen,exact_match,0.0
gru,deadlift,00010,7,seen,macro_f1,0.2
