model,exercise,target,seed,split,metric,value
stgcn,deadlift,00000,123,val,macro_f1,0.34728607918263094
stgcn,deadlift,00000,123,val,micro_f1,0.49230769230769234
stgcn,deadlift,00000,123,val,bit_accuracy,0.611764705882353
stgcn,deadlift,00000,123,val,exact_match,0.0
stgcn,deadlift,00000,123,test,macro_f1,0.0
stgcn,deadlift,00000,123,test,micro_f1,0.0
stgcn,deadlift,00000,123,test,bit_accuracy,0.6231884057971014
stgcn,deadlift,00000,123,test,exact_match,0.0
stgcn,deadlift,00000,42,val,macro_f1,0.3282347282347282
stgcn,deadlift,00000,42,val,micro_f1,0.4713375796178344
stgcn,deadlift,00000,42,val,bit_accuracy,0.5117647058823529
stgcn,deadlift,00000,42,val,exact_match,0.0
stgcn,deadlift,00000,42,test,macro_f1,0.0
stgcn,deadlift,00000,42,test,micro_f1,0.0
stgcn,deadlift,00000,42,test,bit_accuracy,0.5362318840579711
stgcn,deadlift,00000,42,test,exact_match,0.0
stgcn,deadlift,00000,7,val,macro_f1,0.31253411306042883
stgcn,deadlift,00000,7,val,micro_f1,0.47540983606557374
stgcn,deadlift,00000,7,val,bit_accuracy,0.6235294117647059
stgcn,deadlift,00000,7,val,exact_match,0.0
stgcn,deadlift,00000,7,test,macro_f1,0.0
stgcn,deadlift,00000,7,test,micro_f1,0.0
stgcn,deadlift,00000,7,test,bit_accuracy,0.6608695652173913
stgcn,deadlift,00000,7,test,exact_match,0.0
stgcn,deadlift,00010,123,val,macro_f1,0.25179569306255967
stgcn,deadlift,00010,123,val,micro_f1,0.2786885245901639
stgcn,deadlift,00010,123,val,bit_accuracy,0.5487179487179488
stgcn,deadlift,00010,123,val,exact_match,0.10256410256410256
stgcn,deadlift,00010,123,test,macro_f1,0.19047619047619047
stgcn,deadlift,00010,123,test,micro_f1,0.6703910614525139
stgcn,deadlift,00010,123,test,bit_accuracy,0.8212121212121212
stgcn,deadlift,00010,123,test,exact_match,0.3181818181818182
stgcn,deadlift,00010,42,val,macro_f1,0.28021708177709914
stgcn,deadlift,00010,42,val,micro_f1,0.4050632911392405
stgcn,deadlift,00010,42,val,bit_accuracy,0.517948717948718
stgcn,deadlift,00010,42,val,exact_match,0.0
stgcn,deadlift,00010,42,test,macro_f1,0.2
stgcn,deadlift,00010,42,test,micro_f1,0.5689655172413793
stgcn,deadlift,00010,42,test,bit_accuracy,0.696969696969697
stgcn,deadlift,00010,42,test,exact_match,0.015151515151515152
stgcn,deadlift,00010,7,val,macro_f1,0.29397658079625294
stgcn,deadlift,00010,7,val,micro_f1,0.47619047619047616
stgcn,deadlift,00010,7,val,bit_accuracy,0.6051282051282051
stgcn,deadlift,00010,7,val,exact_match,0.0
stgcn,deadlift,00010,7,test,macro_f1,0.09302325581395349
stgcn,deadlift,00010,7,test,micro_f1,0.19704433497536947
stgcn,deadlift,00010,7,test,bit_accuracy,0.5060606060606061
stgcn,deadlift,00010,7,test,exact_match,0.0
stgcn,deadlift,00100,123,val,macro_f1,0.35281577747378023
stgcn,deadlift,00100,123,val,micro_f1,0.4755244755244755
stgcn,deadlift,00100,123,val,bit_accuracy,0.6808510638297872
stgcn,deadlift,00100,123,val,exact_match,0.23404255319148937
stgcn,deadlift,00100,123,test,macro_f1,0.17435897435897435
stgcn,deadlift,00100,123,test,micro_f1,0.5074626865671642
stgcn,deadlift,00100,123,test,bit_accuracy,0.7
stgcn,deadlift,00100,123,test,exact_match,0.18181818181818182
stgcn,deadlift,00100,42,val,macro_f1,0.3539144471347861
stgcn,deadlift,00100,42,val,micro_f1,0.5194805194805194
stgcn,deadlift,00100,42,val,bit_accuracy,0.6851063829787234
stgcn,deadlift,00100,42,val,exact_match,0.19148936170212766
stgcn,deadlift,00100,42,test,macro_f1,0.13333333333333333
stgcn,deadlift,00100,42,test,micro_f1,0.3283582089552239
stgcn,deadlift,00100,42,test,bit_accuracy,0.5909090909090909
stgcn,deadlift,00100,42,test,exact_match,0.13636363636363635
stgcn,deadlift,00100,7,val,macro_f1,0.25234440706476036
stgcn,deadlift,00100,7,val,micro_f1,0.33070866141732286
stgcn,deadlift,00100,7,val,bit_accuracy,0.6382978723404256
stgcn,deadlift,00100,7,val,exact_match,0.23404255319148937
stgcn,deadlift,00100,7,test,macro_f1,0.08571428571428572
stgcn,deadlift,00100,7,test,micro_f1,0.20689655172413793
stgcn,deadlift,00100,7,test,bit_accuracy,0.5818181818181818
stgcn,deadlift,00100,7,test,exact_match,0.18181818181818182
stgcn,deadlift,00110,123,val,macro_f1,0.3354998901340365
stgcn,deadlift,00110,123,val,micro_f1,0.4774193548387097
stgcn,deadlift,00110,123,val,bit_accuracy,0.6625
stgcn,deadlift,00110,123,val,exact_match,0.14583333333333334
stgcn,deadlift,00110,123,test,macro_f1,0.15555555555555556
stgcn,deadlift,00110,123,test,micro_f1,0.3853211009174312
stgcn,deadlift,00110,123,test,bit_accuracy,0.593939393939394
stgcn,deadlift,00110,123,test,exact_match,0.0
stgcn,deadlift,00110,42,val,macro_f1,0.36889999717585925
stgcn,deadlift,00110,42,val,micro_f1,0.4700854700854701
stgcn,deadlift,00110,42,val,bit_accuracy,0.48333333333333334
stgcn,deadlift,00110,42,val,exact_match,0.041666666666666664
stgcn,deadlift,00110,42,test,macro_f1,0.39692307692307693
stgcn,deadlift,00110,42,test,micro_f1,0.6951871657754011
stgcn,deadlift,00110,42,test,bit_accuracy,0.6545454545454545
stgcn,deadlift,00110,42,test,exact_match,0.0
stgcn,deadlift,00110,7,val,macro_f1,0.3648542660307367
stgcn,deadlift,00110,7,val,micro_f1,0.4935064935064935
stgcn,deadlift,00110,7,val,bit_accuracy,0.675
stgcn,deadlift,00110,7,val,exact_match,0.16666666666666666
stgcn,deadlift,00110,7,test,macro_f1,0.22684980062029245
stgcn,deadlift,00110,7,test,micro_f1,0.5714285714285714
stgcn,deadlift,00110,7,test,bit_accuracy,0.7090909090909091
stgcn,deadlift,00110,7,test,exact_match,0.0
stgcn,deadlift,11110,123,val,macro_f1,0.44123606889564326
stgcn,deadlift,11110,123,val,micro_f1,0.5741626794258373
stgcn,deadlift,11110,123,val,bit_accuracy,0.6576923076923077
stgcn,deadlift,11110,123,val,exact_match,0.21153846153846154
stgcn,deadlift,11110,123,test,macro_f1,0.2923076923076923
stgcn,deadlift,11110,123,test,micro_f1,0.49056603773584906
stgcn,deadlift,11110,123,test,bit_accuracy,0.46
stgcn,deadlift,11110,123,test,exact_match,0.0
stgcn,deadlift,11110,42,val,macro_f1,0.4661751152073733
stgcn,deadlift,11110,42,val,micro_f1,0.6301369863013698
stgcn,deadlift,11110,42,val,bit_accuracy,0.6884615384615385
stgcn,deadlift,11110,42,val,exact_match,0.19230769230769232
stgcn,deadlift,11110,42,test,macro_f1,0.4256410256410256
stgcn,deadlift,11110,42,test,micro_f1,0.5964912280701754
stgcn,deadlift,11110,42,test,bit_accuracy,0.54
stgcn,deadlift,11110,42,test,exact_match,0.0
stgcn,deadlift,11110,7,val,macro_f1,0.43599981320631365
stgcn,deadlift,11110,7,val,micro_f1,0.5555555555555556
stgcn,deadlift,11110,7,val,bit_accuracy,0.6307692307692307
stgcn,deadlift,11110,7,val,exact_match,0.21153846153846154
stgcn,deadlift,11110,7,test,macro_f1,0.45614035087719296
stgcn,deadlift,11110,7,test,micro_f1,0.6885245901639344
stgcn,deadlift,11110,7,test,bit_accuracy,0.62
stgcn,deadlift,11110,7,test,exact_match,0.0
stgcn,squat,000000,123,val,macro_f1,0.4832473457256789
stgcn,squat,000000,123,val,micro_f1,0.6689655172413793
stgcn,squat,000000,123,val,bit_accuracy,0.7037037037037037
stgcn,squat,000000,123,val,exact_match,0.18518518518518517
stgcn,squat,000000,123,test,macro_f1,0.0
stgcn,squat,000000,123,test,micro_f1,0.0
stgcn,squat,000000,123,test,bit_accuracy,0.5686274509803921
stgcn,squat,000000,123,test,exact_match,0.0
stgcn,squat,000000,42,val,macro_f1,0.4787350990552961
stgcn,squat,000000,42,val,micro_f1,0.7039473684210527
stgcn,squat,000000,42,val,bit_accuracy,0.7222222222222222
stgcn,squat,000000,42,val,exact_match,0.24074074074074073
stgcn,squat,000000,42,test,macro_f1,0.0
stgcn,squat,000000,42,test,micro_f1,0.0
stgcn,squat,000000,42,test,bit_accuracy,0.5098039215686274
stgcn,squat,000000,42,test,exact_match,0.0
stgcn,squat,000000,7,val,macro_f1,0.4605993748850892
stgcn,squat,000000,7,val,micro_f1,0.6843853820598007
stgcn,squat,000000,7,val,bit_accuracy,0.7067901234567902
stgcn,squat,000000,7,val,exact_match,0.18518518518518517
stgcn,squat,000000,7,test,macro_f1,0.0
stgcn,squat,000000,7,test,micro_f1,0.0
stgcn,squat,000000,7,test,bit_accuracy,0.5980392156862745
stgcn,squat,000000,7,test,exact_match,0.0
stgcn,squat,000001,123,val,macro_f1,0.44269768074115895
stgcn,squat,000001,123,val,micro_f1,0.5891472868217055
stgcn,squat,000001,123,val,bit_accuracy,0.6394557823129252
stgcn,squat,000001,123,val,exact_match,0.061224489795918366
stgcn,squat,000001,123,test,macro_f1,0.16666666666666666
stgcn,squat,000001,123,test,micro_f1,0.48034934497816595
stgcn,squat,000001,123,test,bit_accuracy,0.6393939393939394
stgcn,squat,000001,123,test,exact_match,0.0
stgcn,squat,000001,42,val,macro_f1,0.4580090970557502
stgcn,squat,000001,42,val,micro_f1,0.5609756097560976
stgcn,squat,000001,42,val,bit_accuracy,0.6326530612244898
stgcn,squat,000001,42,val,exact_match,0.0
stgcn,squat,000001,42,test,macro_f1,0.15359477124183005
stgcn,squat,000001,42,test,micro_f1,0.46766169154228854
stgcn,squat,000001,42,test,bit_accuracy,0.6757575757575758
stgcn,squat,000001,42,test,exact_match,0.0
stgcn,squat,000001,7,val,macro_f1,0.5542153065372879
stgcn,squat,000001,7,val,micro_f1,0.6903914590747331
stgcn,squat,000001,7,val,bit_accuracy,0.7040816326530612
stgcn,squat,000001,7,val,exact_match,0.061224489795918366
stgcn,squat,000001,7,test,macro_f1,0.16666666666666666
stgcn,squat,000001,7,test,micro_f1,0.4824561403508772
stgcn,squat,000001,7,test,bit_accuracy,0.6424242424242425
stgcn,squat,000001,7,test,exact_match,0.0
stgcn,squat,000101,123,val,macro_f1,0.3513937740044471
stgcn,squat,000101,123,val,micro_f1,0.5776173285198556
stgcn,squat,000101,123,val,bit_accuracy,0.6388888888888888
stgcn,squat,000101,123,val,exact_match,0.07407407407407407
stgcn,squat,000101,123,test,macro_f1,0.3333333333333333
stgcn,squat,000101,123,test,micro_f1,0.7652173913043478
stgcn,squat,000101,123,test,bit_accuracy,0.7954545454545454
stgcn,squat,000101,123,test,exact_match,0.0
stgcn,squat,000101,42,val,macro_f1,0.35913834281712737
stgcn,squat,000101,42,val,micro_f1,0.5967741935483871
stgcn,squat,000101,42,val,bit_accuracy,0.691358024691358
stgcn,squat,000101,42,val,exact_match,0.07407407407407407
stgcn,squat,000101,42,test,macro_f1,0.3211382113821138
stgcn,squat,000101,42,test,micro_f1,0.7387387387387387
