model,exercise,target,split,metric,value
stgcn,deadlift,00000,test,bit_accuracy,0.6067632850241546
stgcn,deadlift,00000,test,exact_match,0.0
stgcn,deadlift,00000,test,macro_f1,0.0
stgcn,deadlift,00000,test,micro_f1,0.0
stgcn,deadlift,00000,val,bit_accuracy,0.5823529411764706
stgcn,deadlift,00000,val,exact_match,0.0
stgcn,deadlift,00000,val,macro_f1,0.32935164015926266
stgcn,deadlift,00000,val,micro_f1,0.4796850359970335
stgcn,deadlift,00010,test,bit_accuracy,0.6747474747474748
stgcn,deadlift,00010,test,exact_match,0.1111111111111111
stgcn,deadlift,00010,test,macro_f1,0.16116648209671466
stgcn,deadlift,00010,test,micro_f1,0.4788003045564209
stgcn,deadlift,00010,val,bit_accuracy,0.5572649572649573
stgcn,deadlift,00010,val,exact_match,0.034188034188034185
stgcn,deadlift,00010,val,macro_f1,0.27532978521197055
stgcn,deadlift,00010,val,micro_f1,0.38664743063996015
stgcn,deadlift,00100,test,bit_accuracy,0.6242424242424242
stgcn,deadlift,00100,test,exact_match,0.16666666666666666
stgcn,deadlift,00100,test,macro_f1,0.13113553113553114
stgcn,deadlift,00100,test,micro_f1,0.34757248241550864
stgcn,deadlift,00100,val,bit_accuracy,0.6680851063829788
stgcn,deadlift,00100,val,exact_match,0.21985815602836878
stgcn,deadlift,00100,val,macro_f1,0.31969154389110893
stgcn,deadlift,00100,val,micro_f1,0.44190455214077257
stgcn,deadlift,00110,test,bit_accuracy,0.6525252525252525
stgcn,deadlift,00110,test,exact_match,0.0
stgcn,deadlift,00110,test,macro_f1,0.2597761443663083
stgcn,deadlift,00110,test,micro_f1,0.5506456127071345
stgcn,deadlift,00110,val,bit_accuracy,0.6069444444444444
stgcn,deadlift,00110,val,exact_match,0.11805555555555554
stgcn,deadlift,00110,val,macro_f1,0.3564180511135442
stgcn,deadlift,00110,val,micro_f1,0.48033710614355773
stgcn,deadlift,11110,test,bit_accuracy,0.54
stgcn,deadlift,11110,test,exact_match,0.0
stgcn,deadlift,11110,test,macro_f1,0.3913630229419703
stgcn,deadlift,11110,test,micro_f1,0.591860618656653
stgcn,deadlift,11110,val,bit_accuracy,0.658974358974359
stgcn,deadlift,11110,val,exact_match,0.20512820512820515
stgcn,deadlift,11110,val,macro_f1,0.44780366576977676
stgcn,deadlift,11110,val,micro_f1,0.5866184070942543
stgcn,squat,000000,test,bit_accuracy,0.5588235294117646
stgcn,squat,000000,test,exact_match,0.0
stgcn,squat,000000,test,macro_f1,0.0
stgcn,squat,000000,test,micro_f1,0.0
stgcn,squat,000000,val,bit_accuracy,0.7109053497942387
stgcn,squat,000000,val,exact_match,0.2037037037037037
stgcn,squat,000000,val,macro_f1,0.4741939398886881
stgcn,squat,000000,val,micro_f1,0.6857660892407442
stgcn,squat,000001,test,bit_accuracy,0.6525252525252525
stgcn,squat,000001,test,exact_match,0.0
stgcn,squat,000001,test,macro_f1,0.16230936819172112
stgcn,squat,000001,test,micro_f1,0.47682239229044393
stgcn,squat,000001,val,bit_accuracy,0.6587301587301587
stgcn,squat,000001,val,exact_match,0.04081632653061224
stgcn,squat,000001,val,macro_f1,0.484974028111399
stgcn,squat,000001,val,micro_f1,0.6135047852175121
stgcn,squat,000101,test,bit_accuracy,0.7727272727272728
stgcn,squat,000101,test,exact_match,0.0
stgcn,squat,000101,test,macro_f1,0.32926829268292684
stgcn,squat,000101,test,micro_f1,0.7417558684843075
stgcn,squat,000101,val,bit_accuracy,0.6635802469135802
stgcn,squat,000101,val,exact_match,0.08024691358024691
stgcn,squat,000101,val,macro_f1,0.37744147129053446
stgcn,squat,000101,val,micro_f1,0.6065176041302744
stgcn,squat,010101,test,bit_accuracy,0.6666666666666666
stgcn,squat,010101,test,exact_match,0.0
stgcn,squat,010101,test,macro_f1,0.3636242021174942
stgcn,squat,010101,test,micro_f1,0.6739644362216054
stgcn,squat,010101,val,bit_accuracy,0.6696969696969698
stgcn,squat,010101,val,exact_match,0.10909090909090909
stgcn,squat,010101,val,macro_f1,0.4084919279525807
stgcn,squat,010101,val,micro_f1,0.6138657902003097
stgcn,squat,100001,test,bit_accuracy,0.6987179487179488
stgcn,squat,100001,test,exact_match,0.06410256410256411
stgcn,squat,100001,test,macro_f1,0.3284043043558115
stgcn,squat,100001,test,micro_f1,0.692476089960618
stgcn,squat,100001,val,bit_accuracy,0.6433333333333334
stgcn,squat,100001,val,exact_match,0.11333333333333334
stgcn,squat,100001,val,macro_f1,0.516461920360621
stgcn,squat,100001,val,micro_f1,0.647387378109114
stgcn,squat,100101,test,bit_accuracy,0.7037037037037037
stgcn,squat,100101,test,exact_match,0.0
stgcn,squat,100101,test,macro_f1,0.3613641482680146
stgcn,squat,100101,test,micro_f1,0.688440585063587
stgcn,squat,100101,val,bit_accuracy,0.6555555555555556
stgcn,squat,100101,val,exact_match,0.10000000000000002
stgcn,squat,100101,val,macro_f1,0.4481645606780327
stgcn,squat,100101,val,micro_f1,0.5760038760921659
stgcn,squat,101001,test,bit_accuracy,0.7533333333333333
stgcn,squat,101001,test,exact_match,0.0
stgcn,squat,101001,test,macro_f1,0.3486590038314176
stgcn,squat,101001,test,micro_f1,0.7355723264525634
stgcn,squat,101001,val,bit_accuracy,0.6775720164609053
stgcn,squat,101001,val,exact_match,0.07890011223344556
stgcn,squat,101001,val,macro_f1,0.3846946811081245
stgcn,squat,101001,val,micro_f1,0.6114810770537381
