model,exercise,target,seed,risk,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
fact,deadlift,00000,123,confidence,345,0.463768115942029,0.7615561514402401,0.8390202702702703,0.20090217643921365,0.6014492753623188,0.748792270531401
fact,deadlift,00000,123,pressure,345,0.463768115942029,0.6153789443038683,0.5897972972972974,0.4127983789662834,0.605072463768116,0.5990338164251208
fact,deadlift,00000,123,combined,345,0.463768115942029,0.6893421655757177,0.7859797297297297,0.22948556092153635,0.5978260869565217,0.6859903381642511
fact,deadlift,00000,42,confidence,345,0.4115942028985507,0.6038375574816673,0.769270797196975,0.19526133438822732,0.6268115942028986,0.7536231884057971
fact,deadlift,00000,42,pressure,345,0.4115942028985507,0.589200004648732,0.5777076250607092,0.3933291755953575,0.6557971014492754,0.6521739130434783
fact,deadlift,00000,42,combined,345,0.4115942028985507,0.661654113843825,0.746999236800111,0.21664751140872857,0.6557971014492754,0.7004830917874396
fact,deadlift,00000,7,confidence,345,0.41739130434782606,0.6343575601477305,0.7784687672747375,0.19600029259678073,0.6340579710144927,0.7391304347826086
fact,deadlift,00000,7,pressure,345,0.41739130434782606,0.5577137123915609,0.5557110281923715,0.40261307659295503,0.644927536231884,0.6280193236714976
fact,deadlift,00000,7,combined,345,0.41739130434782606,0.6040023958917492,0.7261263128800443,0.22736847258853987,0.6304347826086957,0.6956521739130435
fact,deadlift,00010,123,confidence,330,0.4636363636363636,0.5080557935204684,0.5980207525571435,0.3426836053338829,0.5340909090909092,0.5656565656565656
fact,deadlift,00010,123,pressure,330,0.4636363636363636,0.7381053745914299,0.7680107824674127,0.24916469346236794,0.6098484848484849,0.6717171717171717
fact,deadlift,00010,123,combined,330,0.4636363636363636,0.7012531429978794,0.7093903474760903,0.31423188523542683,0.5984848484848485,0.6414141414141414
fact,deadlift,00010,42,confidence,330,0.38484848484848483,0.44334057959060547,0.5819789767658352,0.3618407189217351,0.6174242424242424,0.6868686868686869
fact,deadlift,00010,42,pressure,330,0.38484848484848483,0.5506670019294881,0.5886893448663745,0.3169773299703112,0.6515151515151515,0.6565656565656566
fact,deadlift,00010,42,combined,330,0.38484848484848483,0.7173156577870694,0.6780574841937862,0.3687360025968093,0.7386363636363636,0.7424242424242424
fact,deadlift,00010,7,confidence,330,0.38484848484848483,0.3990757240263544,0.5509095845777898,0.29955527479125843,0.625,0.6161616161616161
fact,deadlift,00010,7,pressure,330,0.38484848484848483,0.5588842102658517,0.6222993677514449,0.2950197471967306,0.6666666666666667,0.6767676767676767
fact,deadlift,00010,7,combined,330,0.38484848484848483,0.6514187734452314,0.7293355571932818,0.29549572605991486,0.6856060606060606,0.8282828282828283
fact,deadlift,00100,123,confidence,110,0.34545454545454546,0.5960822738585266,0.7668128654970761,0.16273642069631897,0.7386363636363636,0.803030303030303
fact,deadlift,00100,123,pressure,110,0.34545454545454546,0.5210204764109688,0.5893640350877194,0.3057336681117869,0.7386363636363636,0.7424242424242424
fact,deadlift,00100,123,combined,110,0.34545454545454546,0.5592315941084649,0.5990497076023392,0.32578536876356046,0.7386363636363636,0.7575757575757576
fact,deadlift,00100,42,confidence,110,0.4,0.5188280505707171,0.6584022038567493,0.2514443980348387,0.625,0.7121212121212122
fact,deadlift,00100,42,pressure,110,0.4,0.6350484006734006,0.7128099173553719,0.2562102630066863,0.7159090909090908,0.7272727272727273
fact,deadlift,00100,42,combined,110,0.4,0.7858171372381693,0.806473829201102,0.21895154410340736,0.7272727272727273,0.7878787878787878
fact,deadlift,00100,7,confidence,110,0.36363636363636365,0.5805409614992838,0.7321428571428572,0.19079356752295498,0.7045454545454546,0.7575757575757576
fact,deadlift,00100,7,pressure,110,0.36363636363636365,0.5361616161616162,0.6487499999999999,0.31675358778253704,0.7159090909090908,0.7575757575757576
fact,deadlift,00100,7,combined,110,0.36363636363636365,0.6549659761925258,0.7346428571428572,0.22760436493448857,0.7272727272727273,0.803030303030303
fact,deadlift,00110,123,confidence,165,0.40606060606060607,0.5271348673568998,0.6675296984465429,0.2548554233029302,0.6212121212121212,0.6666666666666667
fact,deadlift,00110,123,pressure,165,0.40606060606060607,0.6775452759250874,0.7865519342065184,0.24617847626524314,0.696969696969697,0.7676767676767677
fact,deadlift,00110,123,combined,165,0.40606060606060607,0.5640452271251217,0.6999695400548279,0.24463368263885982,0.6287878787878788,0.6565656565656566
fact,deadlift,00110,42,confidence,165,0.30303030303030304,0.4816555702346036,0.7297391304347827,0.14158643510141494,0.7348484848484849,0.8080808080808081
fact,deadlift,00110,42,pressure,165,0.30303030303030304,0.4265087263725911,0.6122608695652174,0.2629484052922849,0.7651515151515151,0.7777777777777778
fact,deadlift,00110,42,combined,165,0.30303030303030304,0.4308994336328151,0.6994782608695652,0.16122374287530294,0.7348484848484849,0.7878787878787878
