model,risk,seed,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
fact,combined,57.333333333333336,194.33333333333334,0.35105733663313937,0.5040745619958052,0.6262143669877728,0.2824003305793698,0.6897526689307987,0.7217388351231632
fact,confidence,57.333333333333336,194.33333333333334,0.35105733663313937,0.48374993248715725,0.6240994867259704,0.29075953552966327,0.6820461109157604,0.7384063182577587
fact,pressure,57.333333333333336,194.33333333333334,0.35105733663313937,0.4782464310734977,0.5754985967710567,0.308842527218758,0.6911449687284884,0.6927731459062391
gru,combined,57.333333333333336,194.33333333333334,0.3938828805097631,0.5350462508834951,0.6400290995132243,0.2926287176745258,0.6423074656301943,0.6782941554865062
gru,confidence,57.333333333333336,194.33333333333334,0.3938828805097631,0.4830602761375728,0.6090627312468138,0.2995761288495667,0.6276094831390359,0.6507057070805298
gru,pressure,57.333333333333336,194.33333333333334,0.3938828805097631,0.5521550821644369,0.6054427847226719,0.33747923042653455,0.6550094508089136,0.6671689863412239
ssm,combined,57.333333333333336,194.33333333333334,0.37501784380407566,0.5220591770456002,0.6501762706399131,0.26469290381247496,0.6624002839256394,0.6971985969355031
ssm,confidence,57.333333333333336,194.33333333333334,0.37501784380407566,0.5011788156169558,0.6535507853156247,0.25648044553552185,0.6532483495219057,0.6903739255437015
ssm,pressure,57.333333333333336,194.33333333333334,0.37501784380407566,0.5137486188919385,0.588847879729544,0.3352868969616872,0.6617009215916839,0.6817789898808283
tcn,combined,57.333333333333336,194.33333333333334,0.36960418298298375,0.5251830457410139,0.6171657442668614,0.29513949736386674,0.6668359145648147,0.6998563947097752
tcn,confidence,57.333333333333336,194.33333333333334,0.36960418298298375,0.4594932623832528,0.5874717906613738,0.2951438103596409,0.6513970894274915,0.6649772724466043
tcn,pressure,57.333333333333336,194.33333333333334,0.36960418298298375,0.5170211320187202,0.584290746138256,0.3256502976738464,0.6692362106920746,0.672014780372371
transformer,combined,57.333333333333336,194.33333333333334,0.4016564938776504,0.5816207182998534,0.6672467920559858,0.2829765743208589,0.6464986845329725,0.6840018574071945
transformer,confidence,57.333333333333336,194.33333333333334,0.4016564938776504,0.49093804923353246,0.6040916938553659,0.3232828517001915,0.6142959379283143,0.647413002582378
transformer,pressure,57.333333333333336,194.33333333333334,0.4016564938776504,0.5501595903077275,0.6160560474507641,0.33992248670960673,0.6408084013066576,0.6580053106849185
