model,exercise,target,risk,seed,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
fact,deadlift,00000,combined,57.333333333333336,345.0,0.4309178743961352,0.651666225103764,0.7530350931366283,0.22450051497293488,0.6280193236714976,0.6940418679549114
fact,deadlift,00000,confidence,57.333333333333336,345.0,0.4309178743961352,0.666583756356546,0.7955866115806609,0.19738793447474054,0.6207729468599034,0.747181964573269
fact,deadlift,00000,pressure,57.333333333333336,345.0,0.4309178743961352,0.5874308871147204,0.5744053168501261,0.4029135437181986,0.6352657004830918,0.6264090177133655
fact,deadlift,00010,combined,57.333333333333336,330.0,0.41111111111111104,0.6899958580767267,0.7055944629543861,0.3261545379640503,0.6742424242424242,0.7373737373737373
fact,deadlift,00010,confidence,57.333333333333336,330.0,0.41111111111111104,0.45015736571247605,0.5769697713002562,0.33469319968229216,0.5921717171717172,0.6228956228956228
fact,deadlift,00010,pressure,57.333333333333336,330.0,0.41111111111111104,0.6158855289289232,0.6596664983617441,0.2870539235431366,0.6426767676767677,0.6683501683501684
fact,deadlift,00100,combined,57.333333333333336,110.0,0.36969696969696964,0.6666715691797199,0.7133887979820995,0.2574470926004854,0.7310606060606061,0.7828282828282829
fact,deadlift,00100,confidence,57.333333333333336,110.0,0.36969696969696964,0.5651504286428425,0.7191193088322275,0.20165812875137082,0.6893939393939394,0.7575757575757575
fact,deadlift,00100,pressure,57.333333333333336,110.0,0.36969696969696964,0.5640768310819952,0.6503079841476971,0.2928991729670034,0.7234848484848485,0.7424242424242425
fact,deadlift,00110,combined,57.333333333333336,165.0,0.3272727272727272,0.4833608393977773,0.6751863040118348,0.20253015485392356,0.7095959595959597,0.734006734006734
fact,deadlift,00110,confidence,57.333333333333336,165.0,0.3272727272727272,0.47266615321404487,0.7025463997505653,0.17939791560427207,0.7095959595959597,0.7710437710437711
fact,deadlift,00110,pressure,57.333333333333336,165.0,0.3272727272727272,0.4783357723362525,0.6504684654547761,0.25242537432230167,0.7449494949494949,0.7676767676767677
fact,deadlift,11110,combined,57.333333333333336,50.0,0.48,0.40950722873690487,0.39620047898617655,0.5322527241533243,0.4499999999999999,0.4444444444444445
fact,deadlift,11110,confidence,57.333333333333336,50.0,0.48,0.5469044352620911,0.4923853219583856,0.5618686174224554,0.525,0.5777777777777778
fact,deadlift,11110,pressure,57.333333333333336,50.0,0.48,0.44847219947492173,0.4350218673662851,0.5226713388551995,0.48333333333333334,0.4777777777777778
fact,squat,000000,combined,57.333333333333336,102.0,0.3986928104575163,0.5501528465600958,0.7045624708638152,0.22957126486566268,0.6419753086419754,0.7103825136612022
fact,squat,000000,confidence,57.333333333333336,102.0,0.3986928104575163,0.5411890293058897,0.6628584001623389,0.27698118887407536,0.6296296296296297,0.7213114754098361
fact,squat,000000,pressure,57.333333333333336,102.0,0.3986928104575163,0.6189404352301119,0.6705404147063218,0.27616266676270046,0.6707818930041153,0.6830601092896176
fact,squat,000001,combined,57.333333333333336,330.0,0.31313131313131315,0.5412621780979913,0.6506907530656202,0.27047771789472463,0.7626262626262627,0.787878787878788
fact,squat,000001,confidence,57.333333333333336,330.0,0.31313131313131315,0.4054918244289533,0.5291286479543954,0.37975121271315276,0.7247474747474748,0.755892255892256
fact,squat,000001,pressure,57.333333333333336,330.0,0.31313131313131315,0.5176337447641223,0.6333943129121953,0.24719727094576008,0.7462121212121212,0.7828282828282829
fact,squat,000101,combined,57.333333333333336,132.0,0.22474747474747472,0.326541849554222,0.5310722855438302,0.22433793391768483,0.8063492063492063,0.8227848101265822
fact,squat,000101,confidence,57.333333333333336,132.0,0.22474747474747472,0.3768017834380397,0.6431494837998902,0.16305916694148778,0.815873015873016,0.8818565400843882
fact,squat,000101,pressure,57.333333333333336,132.0,0.22474747474747472,0.2703871566705653,0.46642374230450107,0.23507553068937567,0.7841269841269841,0.7763713080168776
fact,squat,010101,combined,57.333333333333336,90.0,0.4074074074074074,0.49944549424863266,0.5980624070852473,0.32358053753162935,0.5925925925925926,0.6419753086419754
fact,squat,010101,confidence,57.333333333333336,90.0,0.4074074074074074,0.5586253368888677,0.5922243224537167,0.3894870913494087,0.6296296296296297,0.6790123456790124
fact,squat,010101,pressure,57.333333333333336,90.0,0.4074074074074074,0.6257848436961133,0.6774120026860841,0.32049083062063255,0.6712962962962963,0.6790123456790124
fact,squat,100001,combined,57.333333333333336,312.0,0.26495726495726496,0.44477125807847323,0.6913879688580665,0.18184825830906873,0.7911646586345382,0.8199643493761141
fact,squat,100001,confidence,57.333333333333336,312.0,0.26495726495726496,0.4561533442633139,0.6895089847299549,0.16735997956183415,0.7777777777777777,0.8253119429590017
fact,squat,100001,pressure,57.333333333333336,312.0,0.26495726495726496,0.30335124347916936,0.5342212740724955,0.26228409371742045,0.7576974564926372,0.7557932263814617
fact,squat,100101,combined,57.333333333333336,216.0,0.2669753086419753,0.37817189115005584,0.5847849275876452,0.2286729267966314,0.7616279069767442,0.7777777777777777
fact,squat,100101,confidence,57.333333333333336,216.0,0.2669753086419753,0.41172894880240535,0.6360438234411226,0.20207057276472448,0.7616279069767442,0.8062015503875969
fact,squat,100101,pressure,57.333333333333336,216.0,0.2669753086419753,0.29509592839063653,0.4796979464348807,0.2807845602267065,0.7422480620155039,0.7054263565891472
fact,squat,101001,combined,57.333333333333336,150.0,0.31777777777777777,0.4073475057652994,0.5106064537779229,0.38743030309231746,0.7277777777777779,0.7074074074074074
fact,squat,101001,confidence,57.333333333333336,150.0,0.31777777777777777,0.3535467835304167,0.4496727647481298,0.43539941821614514,0.7083333333333334,0.7148148148148148
fact,squat,101001,pressure,57.333333333333336,150.0,0.31777777777777777,0.41356260171444004,0.4744233359555734,0.3261520202566608,0.6916666666666668,0.6481481481481483
gru,deadlift,00000,combined,57.333333333333336,345.0,0.4144927536231884,0.5137333565230645,0.6307732682886827,0.2848355456548869,0.6123188405797101,0.640901771336554
gru,deadlift,00000,confidence,57.333333333333336,345.0,0.4144927536231884,0.5007291068360377,0.6314130213449096,0.2848712393983564,0.6147342995169082,0.642512077294686
gru,deadlift,00000,pressure,57.333333333333336,345.0,0.4144927536231884,0.7137298068946136,0.6565635344901711,0.36737522744493384,0.6992753623188405,0.7020933977455717
gru,deadlift,00010,combined,57.333333333333336,330.0,0.5151515151515151,0.768421009940839,0.8205566096261622,0.2628302598649747,0.5517676767676768,0.6414141414141414
gru,deadlift,00010,confidence,57.333333333333336,330.0,0.5151515151515151,0.568384083903614,0.6219340779451823,0.3592394065798999,0.47474747474747475,0.5
gru,deadlift,00010,pressure,57.333333333333336,330.0,0.5151515151515151,0.7859817183671219,0.7995296206668009,0.30643192901315175,0.5542929292929293,0.6397306397306397
gru,deadlift,00100,combined,57.333333333333336,110.0,0.5909090909090909,0.8676973072746654,0.8473914815532585,0.3320102161204503,0.481060606060606,0.5808080808080808
gru,deadlift,00100,confidence,57.333333333333336,110.0,0.5909090909090909,0.7558335201469647,0.7507942815914919,0.3902526986068517,0.44696969696969696,0.5454545454545454
gru,deadlift,00100,pressure,57.333333333333336,110.0,0.5909090909090909,0.8602305030485203,0.8199452105747365,0.3690633395976057,0.5037878787878788,0.6060606060606061
gru,deadlift,00110,combined,57.333333333333336,165.0,0.30303030303030304,0.5255296585174372,0.6397119629573371,0.2020994797201504,0.7727272727272728,0.7744107744107743
gru,deadlift,00110,confidence,57.333333333333336,165.0,0.30303030303030304,0.42775713118097364,0.6568434440325027,0.19308730229366344,0.73989898989899,0.7777777777777777
gru,deadlift,00110,pressure,57.333333333333336,165.0,0.30303030303030304,0.4914816850674115,0.621215510927498,0.25182916032531305,0.7904040404040403,0.7744107744107743
gru,deadlift,11110,combined,57.333333333333336,50.0,0.5333333333333333,0.4705263607027335,0.42761626192153573,0.4736914536617121,0.3833333333333333,0.3444444444444444
gru,deadlift,11110,confidence,57.333333333333336,50.0,0.5333333333333333,0.5527390144906627,0.5396146562475163,0.4223839474963345,0.47500000000000003,0.4222222222222222
gru,deadlift,11110,pressure,57.333333333333336,50.0,0.5333333333333333,0.5010596799371987,0.3217786763045383,0.6223120859863659,0.3833333333333333,0.3444444444444444
gru,squat,000000,combined,57.333333333333336,102.0,0.37254901960784315,0.5380275714255709,0.5909988905956648,0.345427573445382,0.6954732510288065,0.6830601092896176
gru,squat,000000,confidence,57.333333333333336,102.0,0.37254901960784315,0.47779546710686566,0.6440524193548387,0.2316777039588677,0.6502057613168725,0.6557377049180327
gru,squat,000000,pressure,57.333333333333336,102.0,0.37254901960784315,0.6144761968495062,0.6298376429424817,0.28812042612533767,0.7119341563786009,0.6939890710382514
gru,squat,000001,combined,57.333333333333336,330.0,0.3121212121212121,0.4793467700697991,0.6648934894154127,0.20166422164056705,0.7348484848484849,0.7592592592592592
gru,squat,000001,confidence,57.333333333333336,330.0,0.3121212121212121,0.4248464772179817,0.6456678189003587,0.20534280901558336,0.7260101010101009,0.7575757575757575
gru,squat,000001,pressure,57.333333333333336,330.0,0.3121212121212121,0.5394133354126763,0.631456934069992,0.24459637370828616,0.7247474747474746,0.7676767676767676
gru,squat,000101,combined,57.333333333333336,132.0,0.29797979797979796,0.4257996934563712,0.6819671260531476,0.1777193413619774,0.7428571428571429,0.810126582278481
gru,squat,000101,confidence,57.333333333333336,132.0,0.29797979797979796,0.468842927515539,0.695647356965976,0.17030922279208058,0.7428571428571429,0.810126582278481
gru,squat,000101,pressure,57.333333333333336,132.0,0.29797979797979796,0.39135489221014425,0.6250801614129289,0.2604024618192952,0.7365079365079366,0.7805907172995781
gru,squat,010101,combined,57.333333333333336,90.0,0.3259259259259259,0.35835745484639575,0.5254415294924554,0.28351722973625787,0.6527777777777778,0.7098765432098766
gru,squat,010101,confidence,57.333333333333336,90.0,0.3259259259259259,0.411616916284088,0.5697288501107945,0.27160829816040094,0.6851851851851851,0.7037037037037037
gru,squat,010101,pressure,57.333333333333336,90.0,0.3259259259259259,0.4474814034895776,0.6070354542576765,0.2503470968208505,0.7083333333333334,0.7222222222222222
gru,squat,100001,combined,57.333333333333336,312.0,0.3952991452991453,0.4884035072313844,0.6506831687367461,0.3052411204408732,0.6157965194109772,0.7040998217468806
gru,squat,100001,confidence,57.333333333333336,312.0,0.3952991452991453,0.43292593599544943,0.5221561571278294,0.37681988920991644,0.6091030789825971,0.5971479500891266
gru,squat,100001,pressure,57.333333333333336,312.0,0.3952991452991453,0.44112963822548196,0.5231850635981311,0.39874045237646166,0.6171352074966533,0.6167557932263814
gru,squat,100101,combined,57.333333333333336,216.0,0.3302469135802469,0.5166456896145707,0.6593043694534902,0.26991179820457306,0.748062015503876,0.7726098191214471
gru,squat,100101,confidence,57.333333333333336,216.0,0.3302469135802469,0.3891925847420518,0.5428346286251728,0.28834673214989476,0.686046511627907,0.6925064599483205
gru,squat,100101,pressure,57.333333333333336,216.0,0.3302469135802469,0.41179676046433267,0.5436176553715506,0.3135492016214522,0.7248062015503876,0.6950904392764858
gru,squat,101001,combined,57.333333333333336,150.0,0.33555555555555555,0.468066630999109,0.5410110360647983,0.3725963722425047,0.7166666666666667,0.7185185185185184
gru,squat,101001,confidence,57.333333333333336,150.0,0.33555555555555555,0.3860601482306454,0.48806606271519176,0.40097429653295086,0.6805555555555555,0.7037037037037037
gru,squat,101001,pressure,57.333333333333336,150.0,0.33555555555555555,0.4277253660066565,0.4860679520555564,0.3769830102793603,0.7055555555555556,0.662962962962963
ssm,deadlift,00000,combined,57.333333333333336,345.0,0.3816425120772946,0.5089849339541078,0.7053407239325381,0.21226201571956357,0.6521739130434783,0.7214170692431562
ssm,deadlift,00000,confidence,57.333333333333336,345.0,0.3816425120772946,0.5093638308017917,0.691265298188409,0.21342967342646504,0.6413043478260869,0.6924315619967794
ssm,deadlift,00000,pressure,57.333333333333336,345.0,0.3816425120772946,0.540177134119463,0.5188255019258668,0.3997972553755285,0.6763285024154589,0.6441223832528181
ssm,deadlift,00010,combined,57.333333333333336,330.0,0.48282828282828283,0.7218327817386311,0.7816685274369539,0.25158891951269774,0.5921717171717171,0.67003367003367
ssm,deadlift,00010,confidence,57.333333333333336,330.0,0.48282828282828283,0.5449197210240762,0.6298536288355211,0.32478496725160894,0.5214646464646465,0.553872053872054
ssm,deadlift,00010,pressure,57.333333333333336,330.0,0.48282828282828283,0.7612515291308114,0.8045842999839766,0.2661786491260825,0.5909090909090909,0.6952861952861952
ssm,deadlift,00100,combined,57.333333333333336,110.0,0.42727272727272725,0.7690776855460527,0.7365350852205289,0.27770898020723805,0.6893939393939394,0.7171717171717171
ssm,deadlift,00100,confidence,57.333333333333336,110.0,0.42727272727272725,0.618389022423787,0.7025554052129327,0.27152150674489206,0.6325757575757575,0.6565656565656566
ssm,deadlift,00100,pressure,57.333333333333336,110.0,0.42727272727272725,0.6836506315485371,0.6672042206713193,0.3314978860542062,0.6704545454545454,0.7070707070707071
ssm,deadlift,00110,combined,57.333333333333336,165.0,0.2949494949494949,0.4554310934687012,0.670749753691886,0.16162115623621712,0.7424242424242425,0.7710437710437711
ssm,deadlift,00110,confidence,57.333333333333336,165.0,0.2949494949494949,0.5670064588286529,0.7942593555634243,0.11811272714243799,0.7676767676767677,0.8484848484848485
ssm,deadlift,00110,pressure,57.333333333333336,165.0,0.2949494949494949,0.47754061076879667,0.620750066571864,0.25318125038405626,0.7727272727272728,0.8047138047138048
ssm,deadlift,11110,combined,57.333333333333336,50.0,0.6133333333333334,0.6140882439493592,0.5799887816262906,0.4965468836483422,0.325,0.36666666666666664
ssm,deadlift,11110,confidence,57.333333333333336,50.0,0.6133333333333334,0.678915437318254,0.6644424714323339,0.43998448718945954,0.375,0.4222222222222222
ssm,deadlift,11110,pressure,57.333333333333336,50.0,0.6133333333333334,0.629095693273379,0.5367688805411794,0.5599476508477396,0.3333333333333333,0.36666666666666664
ssm,squat,000000,combined,57.333333333333336,102.0,0.38888888888888884,0.5362800557870104,0.6194078582814272,0.28629765293653414,0.6460905349794239,0.6885245901639344
ssm,squat,000000,confidence,57.333333333333336,102.0,0.38888888888888884,0.4828357669586323,0.6161797018082523,0.260249288410866,0.6213991769547326,0.633879781420765
ssm,squat,000000,pressure,57.333333333333336,102.0,0.38888888888888884,0.5799306056319672,0.5997712692643958,0.3448256612301049,0.6748971193415638,0.6666666666666666
ssm,squat,000001,combined,57.333333333333336,330.0,0.3828282828282828,0.588087007943721,0.763643376923259,0.20109267790027163,0.6843434343434343,0.7609427609427609
ssm,squat,000001,confidence,57.333333333333336,330.0,0.3828282828282828,0.47648385123939513,0.6510785700018328,0.25251595228859064,0.640151515151515,0.6784511784511785
ssm,squat,000001,pressure,57.333333333333336,330.0,0.3828282828282828,0.5974311954729551,0.6420170725152685,0.3086121442126449,0.6957070707070706,0.7255892255892255
ssm,squat,000101,combined,57.333333333333336,132.0,0.29292929292929293,0.3821864836742173,0.6432008414885503,0.2124535687134109,0.7301587301587302,0.7763713080168776
ssm,squat,000101,confidence,57.333333333333336,132.0,0.29292929292929293,0.4416394696159441,0.6628773309313988,0.18578085451750306,0.7492063492063492,0.7932489451476794
ssm,squat,000101,pressure,57.333333333333336,132.0,0.29292929292929293,0.3736566184449508,0.600538761624227,0.2707323762897402,0.7396825396825397,0.7721518987341772
ssm,squat,010101,combined,57.333333333333336,90.0,0.274074074074074,0.280264281509025,0.5135629513386246,0.21355379235524388,0.6990740740740741,0.6666666666666666
ssm,squat,010101,confidence,57.333333333333336,90.0,0.274074074074074,0.4596027637979823,0.6986291473235827,0.1500956880716568,0.7731481481481483,0.8209876543209877
ssm,squat,010101,pressure,57.333333333333336,90.0,0.274074074074074,0.3578149163212491,0.5786134544667965,0.24037364144372933,0.6898148148148149,0.7530864197530863
ssm,squat,100001,combined,57.333333333333336,312.0,0.2873931623931623,0.4130773101344926,0.625377217567974,0.20266448793148106,0.749665327978581,0.7789661319073083
ssm,squat,100001,confidence,57.333333333333336,312.0,0.2873931623931623,0.4354769554188438,0.6992224878977552,0.16096738459287271,0.7536813922356091,0.8057040998217468
ssm,squat,100001,pressure,57.333333333333336,312.0,0.2873931623931623,0.36087540789573797,0.5207119325945943,0.3121672024538729,0.7309236947791163,0.7076648841354723
ssm,squat,100101,combined,57.333333333333336,216.0,0.2962962962962963,0.4773048882534215,0.5765500869452316,0.29289650236029124,0.7577519379844961,0.7596899224806202
ssm,squat,100101,confidence,57.333333333333336,216.0,0.2962962962962963,0.37479575737003396,0.5286948401995814,0.3122055843673073,0.7383720930232558,0.7416020671834626
ssm,squat,100101,pressure,57.333333333333336,216.0,0.2962962962962963,0.3441049598674013,0.5122362036239586,0.28493485373189026,0.7267441860465116,0.723514211886305
ssm,squat,101001,combined,57.333333333333336,150.0,0.37777777777777777,0.5180953585884626,0.5860900432256922,0.3676282082284075,0.6805555555555555,0.6888888888888888
ssm,squat,101001,confidence,57.333333333333336,150.0,0.37777777777777777,0.4247167526060757,0.503551186392472,0.38811723242260204,0.6249999999999999,0.6370370370370371
ssm,squat,101001,pressure,57.333333333333336,150.0,0.37777777777777777,0.4594541242280125,0.46415289297108103,0.4511941923906508,0.6388888888888888,0.6148148148148148
tcn,deadlift,00000,combined,57.333333333333336,345.0,0.4405797101449275,0.548919353538376,0.6439285195529035,0.2969555050958598,0.5833333333333334,0.6183574879227053
tcn,deadlift,00000,confidence,57.333333333333336,345.0,0.4405797101449275,0.5440891471440332,0.6400342878697779,0.297940355767081,0.5881642512077295,0.6199677938808373
tcn,deadlift,00000,pressure,57.333333333333336,345.0,0.4405797101449275,0.5505652340912163,0.5502702447489941,0.4259667102100491,0.6316425120772947,0.5571658615136875
tcn,deadlift,00010,combined,57.333333333333336,330.0,0.4101010101010101,0.7032627222865582,0.7629757105666574,0.24421929728363123,0.6628787878787878,0.7306397306397306
tcn,deadlift,00010,confidence,57.333333333333336,330.0,0.4101010101010101,0.4841877549135036,0.6065377084296809,0.29315649305399527,0.5972222222222222,0.6599326599326599
tcn,deadlift,00010,pressure,57.333333333333336,330.0,0.4101010101010101,0.6960774617064923,0.7568276485940072,0.22394257065575562,0.6313131313131314,0.7171717171717171
tcn,deadlift,00100,combined,57.333333333333336,110.0,0.42727272727272725,0.7449996250090871,0.7343620864569481,0.2902782537705431,0.6742424242424242,0.7424242424242425
tcn,deadlift,00100,confidence,57.333333333333336,110.0,0.42727272727272725,0.5079789740762358,0.5893904525158743,0.32150248457160946,0.587121212121212,0.6060606060606061
tcn,deadlift,00100,pressure,57.333333333333336,110.0,0.42727272727272725,0.6270315625025238,0.6807854886347126,0.3233302315784093,0.6704545454545454,0.6666666666666666
tcn,deadlift,00110,combined,57.333333333333336,165.0,0.301010101010101,0.5734164156239755,0.7426823364901853,0.16603057459526485,0.7828282828282829,0.8585858585858586
tcn,deadlift,00110,confidence,57.333333333333336,165.0,0.301010101010101,0.431343320748009,0.629529700226187,0.23478373028917923,0.7348484848484849,0.7710437710437711
tcn,deadlift,00110,pressure,57.333333333333336,165.0,0.301010101010101,0.5676259547325274,0.6992787291106844,0.20583248252860176,0.7803030303030303,0.8181818181818182
tcn,deadlift,11110,combined,57.333333333333336,50.0,0.5466666666666667,0.5174471505108224,0.44902575421690866,0.5263358897667252,0.39166666666666666,0.37777777777777777
tcn,deadlift,11110,confidence,57.333333333333336,50.0,0.5466666666666667,0.5821051174078066,0.5523340410584289,0.4412577423660915,0.44166666666666665,0.43333333333333335
tcn,deadlift,11110,pressure,57.333333333333336,50.0,0.5466666666666667,0.4844648294140493,0.38498985397411184,0.5584292759759603,0.3499999999999999,0.3444444444444444
tcn,squat,000000,combined,57.333333333333336,102.0,0.4313725490196078,0.49530764251430837,0.5493761973000727,0.3836566870739479,0.5679012345679012,0.5683060109289618
tcn,squat,000000,confidence,57.333333333333336,102.0,0.4313725490196078,0.4400730501244042,0.5312959987916736,0.33690161069482033,0.551440329218107,0.540983606557377
tcn,squat,000000,pressure,57.333333333333336,102.0,0.4313725490196078,0.5564139544036676,0.5471748503322899,0.4022114690563792,0.6296296296296297,0.5846994535519126
tcn,squat,000001,combined,57.333333333333336,330.0,0.3333333333333333,0.49232014671797003,0.6579968850859732,0.2250246771138125,0.7070707070707071,0.765993265993266
tcn,squat,000001,confidence,57.333333333333336,330.0,0.3333333333333333,0.44469576106122294,0.6195214338168218,0.2327244113512754,0.6982323232323232,0.7087542087542088
tcn,squat,000001,pressure,57.333333333333336,330.0,0.3333333333333333,0.5934136686822339,0.6873568685971375,0.27016445288768937,0.7222222222222223,0.7861952861952862
tcn,squat,000101,combined,57.333333333333336,132.0,0.3207070707070707,0.6363007589673124,0.7378539869350752,0.20557019738979795,0.7714285714285714,0.8143459915611815
tcn,squat,000101,confidence,57.333333333333336,132.0,0.3207070707070707,0.4425755378789323,0.6286387061149373,0.24075220614525084,0.7142857142857143,0.7426160337552744
tcn,squat,000101,pressure,57.333333333333336,132.0,0.3207070707070707,0.5385281452627829,0.680770521887159,0.2597721570048017,0.7523809523809524,0.7890295358649789
tcn,squat,010101,combined,57.333333333333336,90.0,0.31111111111111106,0.34622107090562143,0.46932618270841564,0.27485320949034514,0.6712962962962963,0.7037037037037037
tcn,squat,010101,confidence,57.333333333333336,90.0,0.31111111111111106,0.5392546915872787,0.6958669404191301,0.19008382806323862,0.7453703703703703,0.7530864197530863
tcn,squat,010101,pressure,57.333333333333336,90.0,0.31111111111111106,0.4521814104620918,0.6197529294974463,0.26804186630358173,0.7175925925925926,0.7654320987654321
tcn,squat,100001,combined,57.333333333333336,312.0,0.32692307692307687,0.39665624007872663,0.5703856575836855,0.28772128751878845,0.6827309236947792,0.7272727272727272
tcn,squat,100001,confidence,57.333333333333336,312.0,0.32692307692307687,0.4190933425667225,0.5953095550241518,0.2868259527609384,0.7041499330655957,0.7237076648841354
tcn,squat,100001,pressure,57.333333333333336,312.0,0.32692307692307687,0.4197921631599359,0.5348884123334875,0.32145135342359527,0.6947791164658635,0.680926916221034
tcn,squat,100101,combined,57.333333333333336,216.0,0.2839506172839506,0.3845891698641039,0.5231713488915135,0.31172173623855254,0.7538759689922481,0.7390180878552971
tcn,squat,100101,confidence,57.333333333333336,216.0,0.2839506172839506,0.29076684044979756,0.4439268394708662,0.34481439044326434,0.7209302325581396,0.7054263565891473
tcn,squat,100101,pressure,57.333333333333336,216.0,0.2839506172839506,0.3671463652762326,0.4924833054891052,0.28495789913099806,0.7616279069767442,0.7209302325581395
tcn,squat,101001,combined,57.333333333333336,150.0,0.3022222222222222,0.4627562528753046,0.5649042654139983,0.3293066530291326,0.7527777777777778,0.7518518518518519
tcn,squat,101001,confidence,57.333333333333336,150.0,0.3022222222222222,0.38775561064108716,0.5172758241989558,0.3209825188089461,0.7333333333333334,0.7148148148148148
tcn,squat,101001,pressure,57.333333333333336,150.0,0.3022222222222222,0.351012834530889,0.37691010045993706,0.36370310333033506,0.6888888888888888,0.6333333333333334
transformer,deadlift,00000,combined,57.333333333333336,345.0,0.45217391304347826,0.533521613262712,0.5881279206108291,0.3479675686303733,0.5845410628019323,0.5893719806763285
transformer,deadlift,00000,confidence,57.333333333333336,345.0,0.45217391304347826,0.5187905056064207,0.5953010432088592,0.33979892672250905,0.5640096618357487,0.5797101449275363
transformer,deadlift,00000,pressure,57.333333333333336,345.0,0.45217391304347826,0.5569694695917636,0.5482036697423133,0.43515321202228074,0.6231884057971014,0.5281803542673108
transformer,deadlift,00010,combined,57.333333333333336,330.0,0.5202020202020202,0.8678696434501646,0.8634577793000703,0.2601150595600932,0.5694444444444444,0.6936026936026937
